,Var1,Freq
168,Human immunodeficiency virus 1,1624
134,Hepacivirus C,620
186,Human T-lymphotropic virus 2,349
5,African swine fever virus,337
323,Simian immunodeficiency virus,335
174,Human papillomavirus type 16,320
184,Human T-cell leukemia virus type I,296
327,Simian T-lymphotropic virus 1,213
137,Hepatitis C virus genotype 2,191
114,Feline immunodeficiency virus,184
135,Hepatitis B virus,171
158,Human betaherpesvirus 6A,168
371,Variola virus,141
175,Human papillomavirus type 18,133
370,Variola major virus,120
139,Hepatitis C virus subtype 1b,119
166,Human gammaherpesvirus 4,109
44,Bovine rotavirus,108
157,Human betaherpesvirus 5,108
238,Measles morbillivirus,93
90,Eastern equine encephalitis virus,87
216,JC polyomavirus,84
316,Rotavirus sp.,84
141,Hepatitis E virus,81
125,Gallid alphaherpesvirus 2,76
369,Vaccinia virus,75
124,Gallid alphaherpesvirus 1,73
50,Buzura suppressaria nucleopolyhedrovirus,72
110,Escherichia virus T4,71
140,Hepatitis delta virus,67
47,Bovine viral diarrhea virus 1-Osloss,66
152,Human alphaherpesvirus 1,66
247,Murayama virus,66
38,Bovine alphaherpesvirus 1,60
155,Human astrovirus 1,58
43,Bovine leukemia virus,57
79,Dasheen mosaic virus,56
100,Equid gammaherpesvirus 2,56
286,Porcine reproductive and respiratory syndrome virus,56
8,Andean potato mottle virus,55
56,Canine rotavirus CU-1,55
57,Canine rotavirus K9,55
70,Coxsackievirus A24,55
111,Feldmannia species virus,55
138,Hepatitis C virus subtype 1a,55
167,Human hepatitis A virus,55
244,Mouse mammary tumor virus,55
291,Potato virus Y,55
377,Visna-maedi virus,55
252,Murine leukemia virus,51
305,Rhizobium phage 16-3,51
312,Rotavirus A,51
381,Zaire ebolavirus,50
262,Orgyia pseudotsugata single capsid nuclopolyhedrovirus,49
99,Equid alphaherpesvirus 4,48
298,Rabies lyssavirus,48
92,Ectromelia virus,46
101,Equine infectious anemia virus,46
26,Barley mild mosaic virus,45
185,Human T-cell lymphotropic virus type 2b,45
212,Influenza B virus (B/Kanagawa/73),45
235,Mammalian rubulavirus 5,45
325,Simian rubulavirus,45
178,Human poliovirus 1,43
208,Influenza A virus (A/swine/Nebraska/1/1992(H1N1)),42
219,Lactate dehydrogenase-elevating virus,42
269,Papiine gammaherpesvirus 1,42
357,Tomato mottle virus,42
104,Escherichia virus Lambda,40
182,Human rotavirus A,40
159,Human betaherpesvirus 6B,38
169,Human immunodeficiency virus 2,38
162,Human endogenous retrovirus,37
3,African horse sickness virus 4,36
71,Coxsackievirus B3,36
88,Duck hepatitis B virus,36
131,Hantavirus sp.,36
192,Influenza A virus (A/Alma-Ata/1417/1984(H1N1)),36
228,Lelystad virus,36
317,Rous sarcoma virus,36
326,Simian T-lymphotropic retrovirus type 1F,36
179,Human polyomavirus 1,35
250,Murine hepatitis virus,34
311,Rinderpest morbillivirus,34
382,Zucchini yellow mosaic virus,31
55,Canine morbillivirus,30
224,Lactococcus virus c2,30
276,Penaeus monodon nucleopolyhedrovirus,30
284,Porcine epidemic diarrhea virus,30
15,Avian myeloblastosis-associated virus,28
16,Avian myeloblastosis-associated virus type 1,28
109,Escherichia virus Qbeta,28
112,Felid alphaherpesvirus 1,28
118,Foot-and-mouth disease virus - type O,28
197,Influenza A virus (A/camel/Mongolia/1982(H1N1)),28
201,Influenza A virus (A/equine/Suffolk/89(H3N8)),28
205,Influenza A virus (A/Shanghai/11/1987/high yield(H3N2)),28
230,Louping ill virus,28
275,Pelargonium leaf curl virus,28
324,Simian immunodeficiency virus 17E-Cl,28
333,Spodoptera exigua multiple nucleopolyhedrovirus,28
342,Suid alphaherpesvirus 1,28
379,Woodchuck hepatitis virus,28
13,Autographa californica nucleopolyhedrovirus,27
34,Bombyx mori nucleopolyhedrovirus,27
97,Enterovirus C,27
191,Infectious pancreatic necrosis virus,27
348,Tick-borne encephalitis virus,27
307,Rice dwarf virus,26
180,Human respirovirus 3,25
242,Molluscum contagiosum virus subtype 1,25
290,Potato virus X,25
310,Rice tungro spherical virus,25
83,Dengue virus 2,24
177,Human parvovirus B19,24
82,Dengue virus 1,23
37,Bovine adenovirus 3,22
153,Human alphaherpesvirus 2,22
7,Alphapapillomavirus 12,21
30,Beet necrotic yellow vein virus,21
35,Borna disease virus 1,21
66,Citrus tristeza virus,21
67,Classical swine fever virus,21
136,Hepatitis C virus (isolate Hunan),21
165,Human endogenous retrovirus K,21
196,Influenza A virus (A/Berkeley/1/1968(H2N2)),21
204,Influenza A virus (A/Hawaii/01/1991(H3N2)),21
207,Influenza A virus (A/swine/Italy/635/1987(H3N2)),21
218,Kumlinge virus,21
237,"Marburg virus - Musoke, Kenya, 1980",21
253,Muscovy duck parvovirus,21
263,Orthohantavirus,21
281,Phocine distemper virus-2,21
299,Raccoonpox virus,21
314,Rotavirus G1,21
322,Simian cytomegalovirus,21
335,Squash mosaic virus,21
354,Tomato chlorotic spot virus,21
362,Tulip breaking virus,21
375,Viral hemorrhagic septicemia virus,21
33,Bluetongue virus 2,20
39,Bovine coronavirus,20
222,Lactobacillus phage phiadh,20
266,Ovine gammaherpesvirus 2,20
96,Enterobacteria phage T7,19
98,Equid alphaherpesvirus 1,19
189,Infectious bronchitis virus,19
319,Salmonella virus P22,19
63,Chlorella virus,18
258,Odontoglossum ringspot virus,18
46,Bovine viral diarrhea virus 1,16
107,Escherichia virus P1,16
241,Mokola lyssavirus,16
283,Plum pox virus,16
294,Pseudomonas virus phiCTX,16
2,African cassava mosaic virus,15
22,Bacillus phage SPP1,15
25,Banana bunchy top virus,15
41,Bovine herpesvirus type 1.1,15
49,Budgerigar fledgling disease virus - 1,15
51,Cacao swollen shoot virus,15
59,Cauliflower mosaic virus,15
64,Choristoneura fumiferana multiple nucleopolyhedrovirus,15
68,Clostridium phage c-st,15
81,Deltapapillomavirus 4,15
84,Dengue virus 3,15
115,Feline rotavirus frv-64,15
123,Friend murine leukemia virus (ISOLATE 57),15
133,Heliothis armigera entomopoxvirus,15
142,Hepatovirus A,15
154,Human astrovirus,15
156,Human astrovirus 2,15
170,Human mastadenovirus F,15
172,Human papillomavirus 4,15
173,Human papillomavirus 5,15
181,Human rotavirus,15
198,Influenza A virus (A/chicken/FPV/Weybridge(H7N7)),15
202,Influenza A virus (A/equine/Taby/1991(H3N8)),15
203,Influenza A virus (A/Fiji/2/1988(H1N1)),15
213,Influenza B virus (B/NIB/48/90),15
214,Invertebrate iridescent virus 6,15
220,Lactobacillus phage LL-H,15
221,Lactobacillus phage mv4,15
255,Nocardia phage NJL,15
260,Orf virus,15
265,Oryza sativa alphaendornavirus,15
267,Ovine lentivirus,15
273,Peanut clump virus,15
282,Plantago asiatica mosaic virus,15
288,Potato leafroll virus,15
308,Rice hoja blanca tenuivirus,15
315,Rotavirus G2,15
339,Subterranean clover stunt virus,15
345,Swine vesicular disease virus,15
353,Tobamovirus,15
355,Tomato leaf curl virus,15
356,Tomato leaf curl virus-[AU],15
359,Tomato spotted wilt orthotospovirus,15
361,Trichomonas vaginalis virus,15
364,Turnip vein-clearing virus,15
150,Human adenovirus 7,13
160,Human coronavirus 229E,13
254,Mycobacterium virus L5,13
257,Obuda pepper virus,13
61,Cercopithecine alphaherpesvirus 9,12
87,Drosophila melanogaster sigmavirus,12
117,Foot-and-mouth disease virus,12
161,Human coronavirus OC43,12
188,Indian cassava mosaic virus,12
248,Murid betaherpesvirus 1,12
287,Porcine rotavirus,12
296,Rabbit fibroma virus,12
329,South African passiflora virus,12
350,Tobacco necrosis virus (Nebraska),12
4,African horse sickness virus 9,10
14,Avian avulavirus 1,10
23,Bacillus virus phi29,10
27,Bean common mosaic virus,10
42,Bovine immunodeficiency virus FL112,10
45,Bovine rotavirus 993/83,10
58,Cardamine chlorotic fleck virus,10
65,Citrus tatter leaf virus,10
73,Coxsackievirus B5,10
85,Dengue virus 4,10
86,Dobrava-Belgrade orthohantavirus,10
91,"Ebola virus - Mayinga, Zaire, 1976",10
93,Enterobacteria phage fd,10
105,Escherichia virus M13,10
106,Escherichia virus N15,10
116,Flaviviridae,10
122,Fowlpox virus,10
128,Giardia lamblia virus,10
143,Herpesvirus sylvilagus,10
148,Human adenovirus 40,10
176,Human papillomavirus type 57b,10
187,Human type D retrovirus,10
190,Infectious bursal disease virus,10
193,Influenza A virus (A/Anas acuta/Primorje/695/79(H3N2)),10
194,Influenza A virus (A/Bangkok/10/1983(H1N1)),10
206,Influenza A virus (A/swine/Germany/2/1981(H1N1)),10
209,Influenza A virus (A/Victoria/3/1975(H3N2)),10
210,Influenza A virus (A/WS/1933(H1N1)),10
211,Influenza B virus,10
226,Leishmania RNA virus 1 - 4,10
229,Leporid herpesvirus 1,10
231,LuIII virus,10
232,Macaca mulatta cytomegalovirus,10
233,Macacine betaherpesvirus 3,10
236,Marburg marburgvirus,10
239,Meleagrid alphaherpesvirus 1,10
245,Mumps rubulavirus,10
256,Norwalk virus,10
270,Parsnip yellow fleck virus,10
277,Pepper huasteco yellow vein virus,10
292,Powassan virus,10
295,Puumala orthohantavirus,10
297,Rabbit hemorrhagic disease virus,10
301,Red clover necrotic mosaic virus,10
303,Retroviral provirus,10
306,Rice black streaked dwarf virus,10
309,Rice stripe tenuivirus,10
321,Shigella phage SfX,10
330,Southampton virus,10
331,Soybean dwarf virus,10
332,Soybean mosaic virus,10
347,Theiler's encephalomyelitis virus,10
352,Tobacco ringspot virus satellite RNA,10
367,UR2 sarcoma virus,10
372,Venezuelan equine encephalitis virus,10
374,Vicia faba alphaendornavirus,10
378,Watermelon mosaic virus,10
380,Yellow fever virus,10
146,Human adenovirus 12,9
373,Vesicular stomatitis virus,9
6,Aleutian mink disease virus,6
9,Anticarsia gemmatalis nucleopolyhedrovirus,6
10,Apple chlorotic leaf spot virus,6
12,Attacus ricini nuclear polyhedrosis virus,6
28,Beet cryptic virus 3,6
31,Beet western yellows ST9 associated virus,6
36,Bovine adenovirus 2,6
52,Campoletis sonorensis ichnovirus,6
60,Cercopithecine alphaherpesvirus 2,6
62,Cherry leaf roll virus,6
69,Cowpox virus,6
72,Coxsackievirus B4,6
77,Cydia pomonella granulovirus,6
78,Cymbidium mosaic virus,6
80,Decapod penstyldensovirus 1,6
89,East African cassava mosaic virus - [Malawi],6
102,Equine rotavirus,6
108,Escherichia virus P2,6
113,Feline calicivirus,6
126,Gallid alphaherpesvirus 3,6
127,Garlic virus A,6
130,Hantaan orthohantavirus,6
132,Helenium virus S,6
147,Human adenovirus 2,6
151,Human adenovirus E4,6
164,Human endogenous retrovirus ERV-9,6
