,Var1,Freq
144,Human immunodeficiency virus 1,1299
119,Hepacivirus C,665
124,Hepatitis E virus,577
145,Human immunodeficiency virus 2,347
149,Human papillomavirus type 16,253
287,Simian immunodeficiency virus,241
3,African swine fever virus,194
225,Murine leukemia virus,185
61,Coxsackievirus A24,152
120,Hepatitis B virus,136
80,Equid alphaherpesvirus 1,123
315,Vaccinia virus,123
236,Panther lentivirus,120
279,Saimiriine gammaherpesvirus 2,114
93,Escherichia virus T4,96
141,Human gammaherpesvirus 4,96
268,Rice dwarf virus,96
213,"Marburg virus - Musoke, Kenya, 1980",94
227,Murine respirovirus,94
270,Rice tungro bacilliform virus,91
147,Human papillomavirus,90
214,Measles morbillivirus,89
112,Gallid alphaherpesvirus 1,88
125,Hepatovirus A,88
222,Murid betaherpesvirus 1,87
161,Human respirovirus 3,86
99,Feline leukemia virus,78
32,Bovine alphaherpesvirus 1,76
160,Human respirovirus 1,76
156,Human parechovirus 1,72
166,Human T-cell leukemia virus type I,71
257,Potato virus X,69
316,Variola major virus,69
150,Human papillomavirus type 18,66
29,Borna disease virus 1,65
38,Bovine rotavirus,65
97,Feline calicivirus,63
277,Rous sarcoma virus,61
211,Mammalian rubulavirus 5,57
13,Avian myeloblastosis-associated virus,55
69,Dengue virus 2,55
131,Human alphaherpesvirus 1,55
136,Human betaherpesvirus 6A,55
138,Human betaherpesvirus 7,55
244,Phocine morbillivirus,50
26,Bluetongue virus,49
39,Bovine viral diarrhea virus 1,49
98,Feline immunodeficiency virus,49
220,Mouse mammary tumor virus,48
34,Bovine gammaherpesvirus 4,46
89,Escherichia virus Mu,46
83,Equine infectious anemia virus,45
96,Felid alphaherpesvirus 1,45
167,Human T-lymphotropic virus 2,45
289,Simian rubulavirus,45
123,Hepatitis delta virus,43
8,Autographa californica nucleopolyhedrovirus,42
16,Bacillus phage SPP1,42
23,Bean calico mosaic virus,42
33,Bovine ephemeral fever virus,42
51,Chicken anemia virus,42
221,Mumps rubulavirus,42
310,Turnip mosaic virus,41
258,Potato virus Y,38
275,Rotavirus C,38
90,Escherichia virus N15,37
171,Infectious bronchitis virus,37
2,African horse sickness virus 4,36
143,Human immunodeficiency virus,36
224,Murine hepatitis virus,36
262,Rabies lyssavirus,36
109,Friend spleen focus-forming virus,34
170,Impatiens necrotic spot virus,34
237,Papaya ringspot virus,34
238,Paramecium bursaria Chlorella virus 1,33
291,Soybean mosaic virus,33
298,Suid alphaherpesvirus 1,33
78,Enterobacteria phage T7,32
113,Gallid alphaherpesvirus 2,30
216,Mesocricetus auratus polyomavirus 1,30
261,Rabbit hemorrhagic disease virus,30
290,Sonchus yellow net nucleorhabdovirus,30
308,Tomato spotted wilt orthotospovirus,30
5,Andean potato mottle virus,28
60,Cowpox virus,28
91,Escherichia virus P1,28
104,Foot-and-mouth disease virus C1,28
148,Human papillomavirus type 13,28
173,Influenza A virus (A/duck/Alberta/78/1976(H3N2)),28
186,Influenza C virus (C/Yamagata/4/88),28
212,Marburg marburgvirus,28
219,Moloney murine sarcoma virus,28
251,Porcine rotavirus,28
265,Raspberry ringspot virus,28
313,unidentified poxvirus,28
62,Coxsackievirus B3,27
193,Kappapapillomavirus 2,27
309,Turkey rhinotracheitis virus,26
68,Dengue virus 1,25
132,Human alphaherpesvirus 2,25
184,Influenza B virus,25
194,Konjac mosaic virus,25
187,Invertebrate iridescent virus 6,24
107,Fowlpox virus,22
134,Human betaherpesvirus 5,22
172,Infectious bursal disease virus,22
20,Barley yellow dwarf virus (ISOLATE MAV-PS1),21
25,Bean yellow mosaic virus,21
35,Bovine herpesvirus type 1.1,21
47,Canine coronavirus,21
55,Colobus monkey papillomavirus type 1,21
56,Corynebacterium phage BFK20,21
115,Grivet simian foamy virus,21
122,Hepatitis C virus subtype 1b,21
152,Human papillomavirus type 30,21
163,Human rotavirus A,21
177,Influenza A virus (A/Leningrad/134/1957(H2N2)),21
178,Influenza A virus (A/Ohio/3523/1988(H1N1)),21
189,Japanese encephalitis virus,21
203,Lymphoproliferative disease virus,21
230,Myeloproliferative sarcoma virus,21
235,Panicum streak virus - [Kenya],21
248,Poa semilatent virus,21
249,Poplar mosaic virus (ATCC PV257),21
250,Porcine respiratory coronavirus,21
263,Raccoonpox virus,21
271,Rinderpest morbillivirus,21
283,Semliki Forest virus,21
284,Shallot virus X,21
301,Theiler's encephalomyelitis virus,21
10,Avian avulavirus 1,20
31,Bovine adenovirus 3,20
105,Fowl aviadenovirus 1,20
108,Friend murine leukemia virus,20
253,Porcine rubulavirus,20
318,Venezuelan equine encephalitis virus,20
64,Cucumber mosaic virus satellite RNA,19
231,Myxoma virus,19
260,Rabbit fibroma virus,18
72,Eastern equine encephalitis virus,16
205,Macacine alphaherpesvirus 1,16
4,Amsacta moorei entomopoxvirus,15
6,Anticarsia gemmatalis nucleopolyhedrovirus,15
9,Aves polyomavirus 1,15
18,Barley mild mosaic virus,15
22,Barley yellow mosaic virus,15
30,Bos taurus polyomavirus 1,15
87,Escherichia virus I22,15
118,Helicoverpa zea single nucleopolyhedrovirus,15
130,Human adenovirus 5,15
139,Human coronavirus 229E,15
