,Var1,Freq
191,Human immunodeficiency virus 1,2163
156,Hepacivirus C,868
214,Human T-cell leukemia virus type I,361
192,Human immunodeficiency virus 2,329
157,Hepatitis B virus,315
163,Hepatitis C virus genotype 5,231
361,Simian immunodeficiency virus,228
341,Rice dwarf virus,209
291,Murine leukemia virus,197
364,Simian T-lymphotropic virus 1,192
8,African swine fever virus,180
194,Human papillomavirus,166
336,Rabies lyssavirus,158
284,Mouse mammary tumor virus,142
144,Gallid alphaherpesvirus 2,140
278,Measles morbillivirus,137
143,Gallid alphaherpesvirus 1,125
174,Human alphaherpesvirus 1,124
179,Human betaherpesvirus 5,119
287,Murid betaherpesvirus 1,117
243,Invertebrate iridescent virus 6,114
133,Foot-and-mouth disease virus,106
180,Human betaherpesvirus 6A,106
76,Citrus tristeza virus,93
117,Equid alphaherpesvirus 4,93
7,African horse sickness virus 4,91
186,Human foamy virus,91
205,Human respirovirus 3,90
378,Suid alphaherpesvirus 1,90
353,Rotavirus sp.,87
248,JC polyomavirus,84
14,Autographa californica nucleopolyhedrovirus,80
321,Potato leafroll virus,80
128,Felid alphaherpesvirus 1,78
395,Tula orthohantavirus,78
399,Turnip vein-clearing virus,78
120,Equine rotavirus,77
124,Escherichia virus T4,75
406,Variola virus,73
325,Potato virus Y,72
332,Puumala orthohantavirus,72
119,Equine infectious anemia virus,66
161,Hepatitis C virus genotype 1,66
193,Human orthopneumovirus,66
277,Mamastrovirus 1,66
298,Norwalk virus,66
386,Tomato severe leaf curl virus-[Guatemala 96-1],66
139,Four Corners hantavirus,64
333,Rabbit fibroma virus,62
162,Hepatitis C virus genotype 2,56
135,Foot-and-mouth disease virus - type C,55
265,Lambdapapillomavirus 2,51
366,Simian T-lymphotropic virus 3,51
46,Borna disease virus 1,49
49,Bovine alphaherpesvirus 1,49
348,Rinderpest morbillivirus,49
367,Sin Nombre orthohantavirus,49
247,Japanese encephalitis virus,47
129,Feline calicivirus,46
317,Porcine reproductive and respiratory syndrome virus,46
64,Caprine arthritis encephalitis virus,45
69,Chelonus inanitus bracovirus,45
200,Human papillomavirus type 67,45
242,Influenza C virus (C/Yamagata/7/88),45
274,Lymphoproliferative disease virus,45
316,Porcine epidemic diarrhea virus,45
346,Rice yellow stunt nucleorhabdovirus,45
382,Tick-borne encephalitis virus,45
58,Bovine viral diarrhea virus 1,42
72,Chlorella virus,41
204,Human respirovirus 1,40
358,Semliki Forest virus,39
203,Human polyomavirus 1,38
408,Viral hemorrhagic septicemia virus,38
130,Feline immunodeficiency virus,37
17,Avian sarcoma virus PR2257/16,36
34,Beet necrotic yellow vein virus,36
116,Epizootic hemorrhagic disease virus 2,36
136,Foot-and-mouth disease virus - type O,36
137,Foot-and-mouth disease virus - type SAT 1,36
158,Hepatitis C virus (isolate HC-G9),36
165,Hepatitis C virus subtype 5a,36
175,Human alphaherpesvirus 3,36
218,Infectious bronchitis virus,36
234,Influenza A virus (A/swine/Italy/309/1983(H3N2)),36
240,Influenza C virus (C/Taylor/1233/1947),36
362,Simian parvovirus,36
365,Simian T-lymphotropic virus 2,36
368,Small round structured virus,36
410,Western chimpanzee simian foamy virus,36
363,Simian rotavirus,34
36,Beet yellows virus,31
113,Enterobacteria phage T7,31
189,Human herpesvirus 4 type 1,31
292,Murine rotavirus,31
339,Respiratory syncytial virus,31
79,Corynebacterium phage BFK20,30
94,Dasheen mosaic virus,30
207,Human rotavirus,30
260,Lactococcus phage Tuc2009,30
262,Lactococcus virus c2,30
288,Murid gammaherpesvirus 4,30
349,Rotavirus A,29
39,Bluetongue virus,28
53,Bovine gammaherpesvirus 4,28
68,Cetacean morbillivirus,28
104,Eastern equine encephalitis virus,28
108,El Moro Canyon orthohantavirus,28
126,European brown hare syndrome virus,28
159,Hepatitis C virus (isolate HCV-K3a/650),28
164,Hepatitis C virus subtype 1a,28
188,Human gammaherpesvirus 8,28
217,Indian peanut clump virus,28
224,Influenza A virus (A/equine/Hong Kong/J/1992(H3N8)),28
239,Influenza C virus (C/Nara/1/85),28
308,Peanut clump virus,28
312,Plantago asiatica mosaic virus,28
334,Rabbit hemorrhagic disease virus,28
355,Rous-associated virus type 1,28
359,Seoul orthohantavirus,28
387,Tomato spotted wilt orthotospovirus,28
411,Western equine encephalitis virus,28
91,Cucumber mosaic virus,27
305,Papaya ringspot virus,27
384,Tobacco vein banding mosaic virus,27
50,Bovine coronavirus,26
181,Human betaherpesvirus 6B,26
269,Lettuce necrotic yellows virus,26
32,Bean yellow mosaic virus,25
123,Escherichia virus P2,25
221,Infectious pancreatic necrosis virus,25
286,Mumps rubulavirus,25
300,Orf virus,25
377,Streptomyces virus phiC31,25
11,Apple mosaic virus,24
404,Ustilago maydis virus P4,22
21,Bacillus phage SPP1,21
24,Bamboo mosaic virus,21
38,Blueberry scorch virus,21
40,Bluetongue virus 15,21
56,Bovine rotavirus,21
59,Brome mosaic virus,21
60,Caliciviridae,21
62,Canine coronavirus,21
75,Citrus tatter leaf virus,21
82,Coxsackievirus A16,21
83,Coxsackievirus A2,21
100,Diadromus pulchellus idnoreovirus 1,21
153,Hantavirus HTN,21
160,Hepatitis C virus (isolate NZL1),21
183,Human endogenous retrovirus KC4,21
187,Human gammaherpesvirus 4,21
198,Human papillomavirus type 59,21
199,Human papillomavirus type 6,21
201,Human poliovirus 1,21
202,Human poliovirus 3,21
209,Human rotavirus AU-1,21
216,IC4 retrovirus,21
241,Influenza C virus (C/Yamagata/64),21
244,Iotapapillomavirus 1,21
280,Minireovirus,21
297,Norwalk-like virus NLV/UK3-17/12700/1992/GB,21
318,Porcine rotavirus,21
331,Puma lentivirus 14,21
370,Sonchus yellow net nucleorhabdovirus,21
412,Wheat spindle streak mosaic virus,21
414,Yellow fever virus,21
37,Blueberry leaf mottle virus,20
44,Border disease virus,20
131,Feline leukemia virus,20
151,Hantaan orthohantavirus,20
219,Infectious bursal disease virus,20
290,Murine hepatitis virus,20
323,Potato virus A,20
77,Classical swine fever virus,19
208,Human rotavirus A,19
29,Barley yellow dwarf virus,16
43,Bombyx mori nucleopolyhedrovirus,16
98,Dengue virus 3,16
272,Louping ill virus,16
10,Aleutian mink disease virus,15
12,Artichoke mottled crinkle virus,15
19,Bacillus phage phi3T,15
51,Bovine ephemeral fever virus,15
57,Bovine rotavirus A,15
65,Carnation ringspot virus,15
71,Chino del tomate virus,15
80,Cotesia congregata bracovirus,15
84,Coxsackievirus B1,15
93,Cucurbit aphid-borne yellows virus,15
99,Desert Shield virus,15
114,Enterovirus E,15
121,Escherichia virus BF23,15
127,Exogenous mouse mammary tumor virus,15
140,Fowlpox virus,15
141,Friend murine leukemia virus,15
142,Friend spleen focus-forming virus,15
146,Grapevine fanleaf virus,15
155,Helicoverpa zea single nucleopolyhedrovirus,15
169,Human adenovirus 12,15
177,Human astrovirus 2,15
210,Human rotavirus B,15
212,Human rotavirus II type 1,15
223,Influenza A virus (A/equi 2/Solvalla/79(H3N8)),15
225,Influenza A virus (A/Finland/168/1991(H1N1)),15
229,Influenza A virus (A/ruddy turnstone/Delaware/244/91 (H5N2)),15
233,Influenza A virus (A/swine/Cambridge/1939(H1N1)),15
256,Lactobacillus phage PL-1,15
259,Lactococcus phage TP901-1,15
314,Pneumonia virus of mice J3666,15
326,Potato yellow mosaic virus,15
327,Potato yellow mosaic virus - [Venezuela],15
330,Pseudomonas virus D3,15
338,Reovirus sp.,15
344,Rice stripe tenuivirus,15
345,Rice yellow mottle virus,15
347,Rift Valley fever virus,15
352,Rotavirus G1,15
354,Rotavirus subgroup 1,15
357,Saimiriine gammaherpesvirus 2,15
369,Small ruminant morbillivirus,15
371,Soybean dwarf virus,15
392,Tomato yellow leaf curl virus,15
393,Tomato yellow leaf curl virus-[Dominican Republic],15
396,Tulip mosaic virus,15
415,Zucchini yellow mosaic virus,15
125,Escherichia virus T5,13
166,Hepatitis delta virus,13
178,Human astrovirus 6,13
26,Banana bunchy top virus,12
81,Cowpox virus,12
96,Dengue virus 1,12
106,Ectromelia virus,12
283,Monkeypox virus,12
375,Strawberry latent ringspot virus,12
385,Tomato aspermy virus,12
2,Actinophage RP3,10
3,Adelaide River virus,10
9,Alcelaphine gammaherpesvirus 1,10
13,Atypical cytopathic virus,10
31,Bean common mosaic virus,10
41,Bluetongue virus 17,10
45,Border disease virus X818,10
48,Bovine adenovirus 3,10
54,Bovine herpesvirus type 1.1,10
61,Canid alphaherpesvirus 1,10
63,Canine parvovirus,10
