,Var1,Freq
272,Norovirus isolates,16
301,Porcine adenovirus 3,16
316,Rat cytomegalovirus Maastricht,16
340,Simian T-lymphotropic virus 1,16
5,Agaricus bisporus virus 1,15
9,Andes orthohantavirus,15
14,Arthrobacter phage phi AAU2,15
23,Barley yellow dwarf virus PAV,15
32,Beet yellow stunt virus,15
38,Bovine adenovirus 3,15
45,Bovine viral diarrhea virus 1-CP7,15
57,Cassava common mosaic virus,15
59,Chelonus inanitus bracovirus,15
61,Chino del tomate virus,15
66,Citrus tristeza virus,15
69,Classical swine fever virus - C,15
73,Cotesia kariyai bracovirus,15
80,Cucurbit yellow stunting disorder virus,15
86,Dolphin morbillivirus,15
100,Epizootic hemorrhagic disease of deer virus,15
101,Epizootic hemorrhagic disease virus 2,15
117,European brown hare syndrome virus,15
129,Frog virus 3,15
137,Groundnut rosette assistor virus,15
140,Hantavirus Monongahela-1,15
151,Hepatitis C virus subtype 1b,15
181,Human papillomavirus type 12,15
201,Indian peanut clump virus,15
205,Influenza A virus (A/chicken/Mexico/31381-7/1994(H5N2)),15
206,Influenza A virus (A/emu/Texas/39442/93(H5N2)),15
213,Influenza A virus (A/goose/Leipzig/137/8/1979(H7N7)),15
216,Influenza A virus (A/Mongolia/231/85(H1N1)),15
220,Influenza C virus (C/Yamagata/64),15
231,Lactococcus phage phi41,15
239,Macaca mulatta cytomegalovirus,15
241,Macacine betaherpesvirus 3,15
269,Myxococcus phage Mx8,15
279,Orf virus,15
285,Papaya ringspot virus,15
293,Pepper golden mosaic virus,15
295,Perina nuda nucleopolyhedrovirus,15
313,Rabbit calicivirus,15
321,Rice hoja blanca tenuivirus,15
324,Rinderpest morbillivirus,15
325,Rinderpest virus (strain Kabete O),15
332,Saccharomyces cerevisiae virus L-BC (La),15
346,Spodoptera ascovirus,15
347,Spodoptera exigua multiple nucleopolyhedrovirus,15
354,Sudan ebolavirus,15
365,Tobacco mild green mosaic virus,15
366,Tobacco mosaic virus,15
371,Tomato bushy stunt virus,15
373,Tomato leaf curl Tanzania virus,15
382,Turkey adenovirus 3,15
388,Variola minor virus,15
404,Youcai mosaic virus,15
58,Cercopithecine alphaherpesvirus 9,13
237,Lymantria dispar multiple nucleopolyhedrovirus,13
323,Rice tungro spherical virus,13
97,Enterobacteria phage KU1,12
155,Highlands J virus,12
214,Influenza A virus (A/Guangdong/28/1994(H3N2)),12
328,Rotavirus sp.,12
400,Xanthomonas phage Lf,12
2,Adeno-associated virus - 3,10
22,Barley yellow dwarf virus,10
36,Border disease virus,10
46,Bovine viral diarrhea virus strain Changchun 184,10
47,Brazilian mammarenavirus,10
68,Classical swine fever virus - Alfort/187,10
71,Convict Creek 107 virus,10
72,Corynephage beta,10
75,Cowpea aphid-borne mosaic virus,10
87,Drosophila X virus,10
91,Echovirus E1,10
95,Enterobacteria phage 82,10
98,Enterobacteria phage M11,10
114,Escherichia virus Qbeta,10
118,Feldmannia species virus,10
122,Feline infectious peritonitis virus,10
128,Fowlpox virus,10
133,Gallid alphaherpesvirus 2,10
150,Hepatitis C virus genotype 5,10
158,Human adenovirus 40,10
159,Human adenovirus 41,10
168,Human betaherpesvirus 7,10
172,Human enterovirus 70,10
210,Influenza A virus (A/Finland/110/1989(H3N2)),10
211,Influenza A virus (A/Finland/246/1992(H3N2)),10
224,Japanese garlic virus,10
230,Lactococcus phage phi31,10
233,Lactococcus phage TP901-1,10
238,Lymphocystis disease virus 1,10
244,Maize streak virus - A[Nigeria1],10
245,Maize streak virus - Reunion [N2AR2],10
246,Maize stripe tenuivirus,10
247,Mamestra brassicae multiple nucleopolyhedrovirus,10
271,Nilaparvata lugens reovirus,10
278,Oliveros mammarenavirus,10
289,Pea seed-borne mosaic virus,10
291,Peanut stripe virus,10
297,Pineapple bacilliform virus,10
299,Poa semilatent virus,10
300,Porcine adenovirus 1,10
305,Porcine reproductive and respiratory syndrome virus 2,10
312,Pseudomonas virus D3,10
319,Retroviridae,10
320,Rice dwarf virus,10
336,Satsuma dwarf virus,10
342,Sindbis virus,10
343,Snakehead retrovirus,10
345,Spiroplasma phage 1-C74,10
355,Sugarcane mosaic virus,10
357,Suid herpesvirus 1 strain Kaplan,10
375,Tomato pseudo-curly top virus,10
376,Tomato ringspot virus,10
386,Ustilago maydis virus,10
392,Viral hemorrhagic septicemia virus,10
393,Walleye dermal sarcoma virus,10
394,Watermelon silver mottle orthotospovirus,10
399,Xanthomonas phage Cf,10
3,African horse sickness virus,9
64,Choristoneura fumiferana multiple nucleopolyhedrovirus,9
115,Escherichia virus T4,9
185,Human papillomavirus type 70,9
384,Turnip mosaic virus,9
10,Anticarsia gemmatalis nucleopolyhedrovirus,6
19,Bacillus phage 2C,6
42,Bovine respirovirus 3,6
55,Carp sprivivirus,6
74,Cotesia rubecula bracovirus,6
82,Cymbidium mosaic virus,6
83,Dengue virus,6
90,Echovirus 9 strain Barty,6
92,Ectromelia virus,6
109,Escherichia virus BF23,6
111,Escherichia virus Lambda,6
113,Escherichia virus P1,6
127,Fowl aviadenovirus 8,6
131,Galleria mellonella MNPV,6
136,Grapevine virus B,6
138,Groundnut rosette virus,6
156,Horseradish curly top virus,6
184,Human papillomavirus type 57b,6
187,Human papillomavirus type 74,6
193,Human rotavirus (STRAIN L26),6
199,Hyphantria cunea nucleopolyhedrovirus,6
209,Influenza A virus (A/equine/Ibadan/6/91(H3N8)),6
215,Influenza A virus (A/Los Angeles/2/1987(H3N2)),6
226,Kennedya yellow mosaic virus,6
250,Marine birnavirus,6
276,Olive latent virus 1,6
277,Olive latent virus 2,6
302,Porcine hemagglutinating encephalomyelitis virus,6
303,Porcine parvovirus,6
307,Porcine rotavirus C,6
309,Potato virus Y,6
310,Prospect Hill orthohantavirus,6
311,Pseudaletia separata entomopoxvirus,6
317,Reovirus sp.,6
331,Ryegrass mosaic virus,6
337,Serra do Navio mammarenavirus,6
349,Stratford virus,6
350,Streptococcus phage Cp-1,6
358,Sunn-hemp mosaic virus,6
360,Sweet potato mild mottle virus,6
363,Thogoto thogotovirus,6
369,Tobacco ringspot virus,6
370,Tobacco vein mottling virus,6
383,Turkey rhinotracheitis virus,6
385,unidentified phycodnavirus clone OTU1,6
391,Vesicular stomatitis virus,6
403,Yellowtail ascites virus,6
8,Amsacta moorei entomopoxvirus,3
25,Bean common mosaic virus,3
26,Bean golden yellow mosaic virus-[Mexico],3
28,Beet mild curly top virus - [Worland],3
35,Bombyx mori nucleopolyhedrovirus,3
48,Campoletis sonorensis ichnovirus,3
54,Carnation etched ring virus,3
65,Citrus mosaic sadwavirus,3
81,Cucurbit yellows-associated virus,3
84,Dengue virus 2,3
88,Dugbe orthonairovirus,3
108,Equine rotavirus A,3
110,Escherichia virus HK022,3
143,Heliothis zea nudivirus,3
144,Helminthosporium victoriae virus 190S,3
157,Human adenovirus 19a,3
160,Human adenovirus 48,3
161,Human adenovirus 7,3
162,Human adenovirus D9,3
164,Human astrovirus 1,3
170,Human coronavirus OC43,3
191,Human respirovirus 1,3
235,Leek yellow stripe virus,3
236,Little cherry virus 1,3
248,Marek's disease gammaherpesvirus MKT-1,3
252,Micromonas pusilla virus SP1,3
263,Murid betaherpesvirus 2,3
265,Murine adenovirus 1,3
266,Murine hepatitis virus,3
288,Parietaria mottle virus,3
333,Saguaro cactus virus,3
334,Salmonella virus PsP3,3
351,Streptococcus virus Sfi21,3
353,Streptomyces virus phiC31,3
362,Taterapox virus,3
367,Tobacco necrosis virus D,3
377,Tomato spotted wilt orthotospovirus,3
379,Trichomonas vaginalis virus 1,3
395,Western equine encephalitis virus,3
398,Wongorr virus,3
243,Macroptilium golden mosaic virus,2
348,Stealth virus 1,2
12,Apple chlorotic leaf spot virus,1
116,Escherichia virus T5,1
120,Feline coronavirus,1
145,Hendra henipavirus,1
200,Impatiens necrotic spot virus,1
368,Tobacco rattle virus,1
372,Tomato dwarf leaf curl virus,1
,Dengue virus 1,0
,Dengue virus 3,0
,West Nile virus,0
