,Var1,Freq
179,Human immunodeficiency virus 1,5778
405,Torque teno virus,994
139,GB virus C,982
177,Human gammaherpesvirus 8,886
146,Hepacivirus C,600
104,Echovirus E30,455
427,West Nile virus,436
198,Human T-cell leukemia virus type I,372
110,Enterovirus A71,314
333,Rabies lyssavirus,291
370,Simian immunodeficiency virus,256
368,Simian-Human immunodeficiency virus,251
127,Feline immunodeficiency virus,236
153,Hepatitis E virus,224
147,Hepatitis B virus,209
109,Enterobacteria phage VT2-Sakai,199
76,Citrus tristeza virus,196
114,Equid gammaherpesvirus 2,184
265,Measles morbillivirus,179
116,Equine arteritis virus,171
31,Borna disease virus 1,164
148,Hepatitis C virus subtype 1b,145
330,Puumala orthohantavirus,141
178,Human immunodeficiency virus,136
183,Human papillomavirus type 16,135
12,Avian avulavirus 1,132
142,Guanarito mammarenavirus,132
377,Spodoptera exigua multiple nucleopolyhedrovirus,129
77,Classical swine fever virus,119
203,Infectious bursal disease virus,114
170,Human betaherpesvirus 6B,112
199,Human T-lymphotropic virus 2,112
100,Eastern equine encephalitis virus,110
263,Marek's disease virus serotype 2 MDV2,110
269,Mesocricetus auratus polyomavirus 1,110
404,Topografov hantavirus,105
419,Venezuelan equine encephalitis virus,105
194,Human rotavirus A,103
99,Dobrava-Belgrade orthohantavirus,102
168,Human betaherpesvirus 5,102
176,Human gammaherpesvirus 4,102
190,Human poliovirus 2,99
9,Anticarsia gemmatalis nucleopolyhedrovirus,94
237,Japanese encephalitis virus,93
430,Wheat yellow mosaic virus,93
239,JC polyomavirus,92
411,Tula orthohantavirus,90
180,Human orthopneumovirus,85
152,Hepatitis delta virus,83
191,Human polyomavirus 1,81
96,Dengue virus 2,78
282,Myxoma virus,78
344,Rice tungro bacilliform virus,73
288,Norwalk-like virus,67
271,Multiple sclerosis associated retrovirus element,66
298,Paramecium bursaria Chlorella virus 1,66
360,Salmon isavirus,66
315,Porcine reproductive and respiratory syndrome virus,62
126,Feline calicivirus,61
10,Asian elephant endotheliolytic herpesvirus,55
151,Hepatitis C virus subtype 2c,55
165,Human alphaherpesvirus 1,55
214,Influenza A virus (A/Hong Kong/482/97(H5N1)),55
221,Influenza A virus (A/Swine/North Carolina/35922/98 (H3N2)),55
251,Lymphocytic choriomeningitis mammarenavirus,55
262,Mammalian orthoreovirus 1,55
294,Orf virus,55
372,Simian retrovirus 2,55
181,Human papillomavirus,51
253,Macaca mulatta polyomavirus 1,51
189,Human poliovirus 1,49
39,Bovine gammaherpesvirus 4,48
91,Cucumber mosaic virus,48
283,Nanovirus-like particle,48
27,Bluetongue virus 1,45
70,Chipmunk parvovirus,45
78,Clethrionomys glareolus picornavirus,45
158,Human adenovirus 11,45
220,Influenza A virus (A/Swine/Breugel/97(H3N2)),45
296,Ovine enzootic nasal tumor virus,45
355,Rotavirus sp.,45
395,Tick-borne encephalitis virus,45
429,Wheat spindle streak mosaic virus,45
389,Suid alphaherpesvirus 1,43
186,Human papillomavirus type 6,42
228,Influenza B virus,42
202,Infectious bronchitis virus,40
23,Beet necrotic yellow vein virus,38
436,Yellow fever virus,38
137,Gallid alphaherpesvirus 2,37
287,Norovirus isolates,37
4,African swine fever virus,36
49,Broad bean wilt virus 2,36
56,Canarypox virus,36
61,Castelo dos Sonhos virus,36
97,Dengue virus 3,36
123,Faba bean necrotic yellows virus,36
129,Foot-and-mouth disease virus,36
150,Hepatitis C virus subtype 2b,36
163,Human adenovirus D9,36
175,Human erythrovirus V9,36
227,Influenza A virus (A/Victoria/3/1975(H3N2)),36
256,Macacine gammaherpesvirus 5,36
312,Porcine epidemic diarrhea virus,36
316,Porcine reproductive and respiratory syndrome virus 1,36
392,Testudo hermanni ranavirus,36
58,Canine morbillivirus,35
120,Escherichia virus T4,35
43,Bovine orthopneumovirus,34
71,Chlorella virus,34
376,Soil-borne cereal mosaic virus,34
407,Transmissible gastroenteritis virus,34
155,Hepatovirus A,31
322,Potato virus Y,31
408,Tremovirus A,31
42,Bovine immunodeficiency virus,30
83,Cowpox virus,30
107,Enterobacteria phage 933W,30
46,Bovine viral diarrhea virus 1,29
11,Ateline gammaherpesvirus 3,28
19,Barley yellow mosaic virus,28
69,Chinese wheat mosaic virus,28
101,"Ebola virus - Mayinga, Zaire, 1976",28
159,Human adenovirus 17,28
193,Human rotavirus (strain HOU8697),28
197,Human spumaretrovirus,28
208,Influenza A virus (A/chicken/Jalisco/1994(H5)),28
215,Influenza A virus (A/mallard duck/PA/10218/84(H5N2)),28
230,Influenza B virus (B/Lyon/1271/96),28
234,Influenza C virus (C/Ann Arbor/1/50),28
250,Lymantria dispar multiple nucleopolyhedrovirus,28
274,Murid betaherpesvirus 1,28
345,Rift Valley fever virus,28
346,Rinderpest morbillivirus,28
347,Rio Mamore hantavirus,28
365,Shallot yellow stripe virus,28
390,Sweet potato chlorotic stunt virus,28
433,Xanthomonas phage phiXv,28
5,Aleutian mink disease virus,27
113,Equid alphaherpesvirus 3,27
278,Murine leukemia virus,27
188,Human parvovirus B19,25
223,Influenza A virus (A/Tianjing/33/92(H3N2)),25
325,Pseudoalteromonas virus PM2,25
357,Ryegrass mosaic virus,25
385,Streptomyces virus phiC31,25
437,Yellow head virus,24
