Auth1,Auth2
"Cartier,L.","Fujiyoshi,T."
"Cartier,L.","Sonoda,S."
"Cartier,L.","Tajima,K."
"Cartier,L.","Hayami,M."
"Fujiyoshi,T.","Sonoda,S."
"Fujiyoshi,T.","Tajima,K."
"Fujiyoshi,T.","Hayami,M."
"Sonoda,S.","Tajima,K."
"Sonoda,S.","Hayami,M."
"Tajima,K.","Hayami,M."
"Minamoto,N.","Sugiyama,M."
"Minamoto,N.","Ito,N."
"Sugiyama,M.","Ito,N."
"Minamoto,N.","Sugiyama,M."
"Minamoto,N.","Ito,N."
"Minamoto,N.","Okadera,K."
"Sugiyama,M.","Ito,N."
"Sugiyama,M.","Okadera,K."
"Ito,N.","Okadera,K."
"Chayama,K.","Tsubota,A."
"Chayama,K.","Arase,Y."
"Tsubota,A.","Arase,Y."
"Kashiwazaki,S.","Lee,K."
"Kashiwazaki,S.","Hibi,T."
"Kashiwazaki,S.","So,I."
"Lee,K.","Hibi,T."
"Lee,K.","So,I."
"Hibi,T.","So,I."
"Nagano,H.","Furusawa,I."
"Okamoto,H.","Tokita,H."
"Okamoto,H.","Iizuka,H."
"Okamoto,H.","Kishimoto,J."
"Okamoto,H.","Tsuda,F."
"Okamoto,H.","Miyakawa,Y."
"Okamoto,H.","Mayumi,M."
"Tokita,H.","Iizuka,H."
"Tokita,H.","Kishimoto,J."
"Tokita,H.","Tsuda,F."
"Tokita,H.","Miyakawa,Y."
"Tokita,H.","Mayumi,M."
"Iizuka,H.","Kishimoto,J."
"Iizuka,H.","Tsuda,F."
"Iizuka,H.","Miyakawa,Y."
"Iizuka,H.","Mayumi,M."
"Kishimoto,J.","Tsuda,F."
"Kishimoto,J.","Miyakawa,Y."
"Kishimoto,J.","Mayumi,M."
"Tsuda,F.","Miyakawa,Y."
"Tsuda,F.","Mayumi,M."
"Miyakawa,Y.","Mayumi,M."
"Fang,R.-X.","Cheng,N."
"Fang,R.-X.","Pu,Z."
"Fang,R.-X.","Fang,Z."
"Cheng,N.","Pu,Z."
"Cheng,N.","Fang,Z."
"Pu,Z.","Fang,Z."
"Kubo,K.","Fujiyoshi,T."
"Kubo,K.","Kamei,K."
"Kubo,K.","Richt,J.A."
"Kubo,K.","Kitze,B."
"Kubo,K.","Takigawa,M"
"Kubo,K.",",Sonoda,S."
"Fujiyoshi,T.","Kamei,K."
"Fujiyoshi,T.","Richt,J.A."
"Fujiyoshi,T.","Kitze,B."
"Fujiyoshi,T.","Takigawa,M"
"Fujiyoshi,T.",",Sonoda,S."
"Kamei,K.","Richt,J.A."
"Kamei,K.","Kitze,B."
"Kamei,K.","Takigawa,M"
"Kamei,K.",",Sonoda,S."
"Richt,J.A.","Kitze,B."
"Richt,J.A.","Takigawa,M"
