"","Var1","Freq"
"191","Human immunodeficiency virus 1",66
"156","Hepacivirus C",38
"157","Hepatitis B virus",16
"180","Human betaherpesvirus 6A",12
"14","Autographa californica nucleopolyhedrovirus",11
"8","African swine fever virus",10
"144","Gallid alphaherpesvirus 2",9
"287","Murid betaherpesvirus 1",9
"291","Murine leukemia virus",9
"378","Suid alphaherpesvirus 1",9
"143","Gallid alphaherpesvirus 1",8
"192","Human immunodeficiency virus 2",8
"214","Human T-cell leukemia virus type I",8
"124","Escherichia virus T4",7
"278","Measles morbillivirus",7
"284","Mouse mammary tumor virus",7
"361","Simian immunodeficiency virus",7
"117","Equid alphaherpesvirus 4",6
"174","Human alphaherpesvirus 1",6
"194","Human papillomavirus",6
"243","Invertebrate iridescent virus 6",6
"325","Potato virus Y",6
"341","Rice dwarf virus",6
"49","Bovine alphaherpesvirus 1",5
"58","Bovine viral diarrhea virus 1",5
"91","Cucumber mosaic virus",5
"120","Equine rotavirus",5
"179","Human betaherpesvirus 5",5
"336","Rabies lyssavirus",5
"50","Bovine coronavirus",4
"133","Foot-and-mouth disease virus",4
"219","Infectious bursal disease virus",4
"290","Murine hepatitis virus",4
"317","Porcine reproductive and respiratory syndrome virus",4
"318","Porcine rotavirus",4
"321","Potato leafroll virus",4
"333","Rabbit fibroma virus",4
"353","Rotavirus sp.",4
"39","Bluetongue virus",3
"46","Borna disease virus 1",3
"72","Chlorella virus",3
"77","Classical swine fever virus",3
"94","Dasheen mosaic virus",3
"113","Enterobacteria phage T7",3
"128","Felid alphaherpesvirus 1",3
"130","Feline immunodeficiency virus",3
"162","Hepatitis C virus genotype 2",3
"166","Hepatitis delta virus",3
"181","Human betaherpesvirus 6B",3
"204","Human respirovirus 1",3
"207","Human rotavirus",3
"208","Human rotavirus A",3
"247","Japanese encephalitis virus",3
"248","JC polyomavirus",3
"260","Lactococcus phage Tuc2009",3
"265","Lambdapapillomavirus 2",3
"269","Lettuce necrotic yellows virus",3
"305","Papaya ringspot virus",3
"316","Porcine epidemic diarrhea virus",3
"348","Rinderpest morbillivirus",3
"358","Semliki Forest virus",3
"364","Simian T-lymphotropic virus 1",3
"366","Simian T-lymphotropic virus 3",3
"399","Turnip vein-clearing virus",3
"407","Vesicular stomatitis Indiana virus",3
"6","African horse sickness virus",2
"7","African horse sickness virus 4",2
"11","Apple mosaic virus",2
"21","Bacillus phage SPP1",2
"26","Banana bunchy top virus",2
"29","Barley yellow dwarf virus",2
"32","Bean yellow mosaic virus",2
"36","Beet yellows virus",2
"37","Blueberry leaf mottle virus",2
"43","Bombyx mori nucleopolyhedrovirus",2
"44","Border disease virus",2
"56","Bovine rotavirus",2
"66","Cauliflower mosaic virus",2
"76","Citrus tristeza virus",2
"79","Corynebacterium phage BFK20",2
"81","Cowpox virus",2
"90","Cryptophlebia leucotreta granulovirus",2
"96","Dengue virus 1",2
"98","Dengue virus 3",2
"106","Ectromelia virus",2
"115","Epizootic hemorrhagic disease virus 1",2
"119","Equine infectious anemia virus",2
"123","Escherichia virus P2",2
"125","Escherichia virus T5",2
"129","Feline calicivirus",2
"131","Feline leukemia virus",2
"136","Foot-and-mouth disease virus - type O",2
"139","Four Corners hantavirus",2
"151","Hantaan orthohantavirus",2
"178","Human astrovirus 6",2
"186","Human foamy virus",2
"187","Human gammaherpesvirus 4",2
"189","Human herpesvirus 4 type 1",2
"203","Human polyomavirus 1",2
"205","Human respirovirus 3",2
"218","Infectious bronchitis virus",2
"221","Infectious pancreatic necrosis virus",2
"249","Kappapapillomavirus 2",2
"255","Lactobacillus phage LL-H",2
"262","Lactococcus virus c2",2
"272","Louping ill virus",2
"273","Lymantria dispar multiple nucleopolyhedrovirus",2
"283","Monkeypox virus",2
"286","Mumps rubulavirus",2
"288","Murid gammaherpesvirus 4",2
"292","Murine rotavirus",2
"295","Nilaparvata lugens reovirus",2
"300","Orf virus",2
"303","Ovine respiratory syncytial virus",2
"323","Potato virus A",2
"332","Puumala orthohantavirus",2
"339","Respiratory syncytial virus",2
"349","Rotavirus A",2
"356","Rous sarcoma virus",2
"363","Simian rotavirus",2
"367","Sin Nombre orthohantavirus",2
"368","Small round structured virus",2
"370","Sonchus yellow net nucleorhabdovirus",2
"375","Strawberry latent ringspot virus",2
"377","Streptomyces virus phiC31",2
"384","Tobacco vein banding mosaic virus",2
"385","Tomato aspermy virus",2
"404","Ustilago maydis virus P4",2
"405","Vaccinia virus",2
"406","Variola virus",2
"408","Viral hemorrhagic septicemia virus",2
"1","Acholeplasma virus L2",1
"2","Actinophage RP3",1
"3","Adelaide River virus",1
"4","Adeno-associated virus - 2",1
"5","Aedes albopictus densovirus 2",1
"9","Alcelaphine gammaherpesvirus 1",1
"10","Aleutian mink disease virus",1
"12","Artichoke mottled crinkle virus",1
"13","Atypical cytopathic virus",1
"15","Avian avulavirus 1",1
"16","Avian myeloblastosis virus",1
"17","Avian sarcoma virus PR2257/16",1
"18","Bacillus phage beta22",1
"19","Bacillus phage phi3T",1
"20","Bacillus phage SP82",1
"22","Bacillus virus phi29",1
"23","Bacillus virus SPO1",1
"24","Bamboo mosaic virus",1
"25","Bamboo mosaic virus satellite RNA",1
"27","Barley mild mosaic virus",1
"28","Barley stripe mosaic virus",1
"30","Batai virus",1
"31","Bean common mosaic virus",1
"33","Beet curly top virus",1
"34","Beet necrotic yellow vein virus",1
"35","Beet severe curly top virus - Cfh",1
"38","Blueberry scorch virus",1
"40","Bluetongue virus 15",1
"41","Bluetongue virus 17",1
"42","Bluetongue virus 2",1
"45","Border disease virus X818",1
"47","Bovine adenovirus 2",1
"48","Bovine adenovirus 3",1
"51","Bovine ephemeral fever virus",1
"52","Bovine foamy virus",1
"53","Bovine gammaherpesvirus 4",1
"54","Bovine herpesvirus type 1.1",1
"55","Bovine leukemia virus",1
"57","Bovine rotavirus A",1
"59","Brome mosaic virus",1
"60","Caliciviridae",1
"61","Canid alphaherpesvirus 1",1
"62","Canine coronavirus",1
"63","Canine parvovirus",1
"64","Caprine arthritis encephalitis virus",1
"65","Carnation ringspot virus",1
"67","Cercopithecine alphaherpesvirus 9",1
"68","Cetacean morbillivirus",1
"69","Chelonus inanitus bracovirus",1
"70","Chicken anemia virus",1
"71","Chino del tomate virus",1
"73","Choristoneura fumiferana multiple nucleopolyhedrovirus",1
"74","Citrus leaf rugose virus",1
"75","Citrus tatter leaf virus",1
"78","Clostridium botulinum phage 1C",1
"80","Cotesia congregata bracovirus",1
"82","Coxsackievirus A16",1
"83","Coxsackievirus A2",1
"84","Coxsackievirus B1",1
"85","Coxsackievirus B3",1
"86","Coxsackievirus B4",1
"87","Crimean-Congo hemorrhagic fever orthonairovirus",1
"88","Cryphonectria hypovirus 2-NB58",1
"89","Cryphonectria parasitica mitovirus 1-NB631",1
"92","Cucumber mosaic virus satellite RNA",1
"93","Cucurbit aphid-borne yellows virus",1
"95","Deltapapillomavirus 4",1
"97","Dengue virus 2",1
"99","Desert Shield virus",1
"100","Diadromus pulchellus idnoreovirus 1",1
"101","Dolphin morbillivirus",1
"102","Drosophila melanogaster sigmavirus",1
"103","Dwarf hamster endogenous retrovirus MRS-X14A",1
"104","Eastern equine encephalitis virus",1
"105","Echovirus E6",1
"107","Eimeria nieschulzi virus",1
"108","El Moro Canyon orthohantavirus",1
"109","Encephalomyocarditis virus",1
"110","Enterobacteria phage K3",1
"111","Enterobacteria phage phi80",1
"112","Enterobacteria phage PR4",1
"114","Enterovirus E",1
"116","Epizootic hemorrhagic disease virus 2",1
"118","Equine arteritis virus",1
"121","Escherichia virus BF23",1
"122","Escherichia virus M13",1
"126","European brown hare syndrome virus",1
"127","Exogenous mouse mammary tumor virus",1
"132","Feline rotavirus",1
"134","Foot-and-mouth disease virus - type Asia 1",1
"135","Foot-and-mouth disease virus - type C",1
"137","Foot-and-mouth disease virus - type SAT 1",1
"138","Foot-and-mouth disease virus (strain A12)",1
"140","Fowlpox virus",1
"141","Friend murine leukemia virus",1
"142","Friend spleen focus-forming virus",1
"145","Garlic virus 2",1
"146","Grapevine fanleaf virus",1
"147","Grapevine virus A",1
"148","Groundnut rosette virus Malawi chlorotic satellite RNA",1
"149","Haemophilus virus HP1",1
"150","Halobacterium phage phiH",1
"152","Hantavirus A9",1
"153","Hantavirus HTN",1
"154","Hawaii calicivirus",1
"155","Helicoverpa zea single nucleopolyhedrovirus",1
"158","Hepatitis C virus (isolate HC-G9)",1
"159","Hepatitis C virus (isolate HCV-K3a/650)",1
"160","Hepatitis C virus (isolate NZL1)",1
"161","Hepatitis C virus genotype 1",1
"163","Hepatitis C virus genotype 5",1
"164","Hepatitis C virus subtype 1a",1
"165","Hepatitis C virus subtype 5a",1
"167","Hepatitis E virus",1
"168","Hepatovirus A",1
"169","Human adenovirus 12",1
"170","Human adenovirus 2",1
"171","Human adenovirus 31",1
"172","Human adenovirus 5",1
"173","Human adenovirus B3",1
"175","Human alphaherpesvirus 3",1
"176","Human astrovirus 1",1
"177","Human astrovirus 2",1
"182","Human coxsackievirus A21 Coe",1
"183","Human endogenous retrovirus KC4",1
"184","Human enteric coronavirus 4408",1
"185","Human enterovirus 70",1
"188","Human gammaherpesvirus 8",1
"190","Human herpesvirus 4 type 2",1
"193","Human orthopneumovirus",1
"195","Human papillomavirus 3",1
"196","Human papillomavirus type 16",1
"197","Human papillomavirus type 2c",1
"198","Human papillomavirus type 59",1
"199","Human papillomavirus type 6",1
"200","Human papillomavirus type 67",1
"201","Human poliovirus 1",1
"202","Human poliovirus 3",1
"206","Human rhinovirus sp.",1
"209","Human rotavirus AU-1",1
"210","Human rotavirus B",1
"211","Human rotavirus C",1
"212","Human rotavirus II type 1",1
"213","Human spumaretrovirus",1
"215","Human T-lymphotropic virus 2",1
"216","IC4 retrovirus",1
"217","Indian peanut clump virus",1
"220","Infectious hematopoietic necrosis virus",1
"222","Influenza A virus (A/Beijing/4/1989(H3N2))",1
"223","Influenza A virus (A/equi 2/Solvalla/79(H3N8))",1
"224","Influenza A virus (A/equine/Hong Kong/J/1992(H3N8))",1
"225","Influenza A virus (A/Finland/168/1991(H1N1))",1
"226","Influenza A virus (A/Fort Monmouth/1/1947-mouse adapted(H1N1))",1
"227","Influenza A virus (A/Fort Monmouth/1/1947(H1N1))",1
"228","Influenza A virus (A/Japan/305+/1957(H2N2))",1
"229","Influenza A virus (A/ruddy turnstone/Delaware/244/91 (H5N2))",1
"230","Influenza A virus (A/seal/Mass/1/1980(H7N7))",1
"231","Influenza A virus (A/Suita/1/1989(H1N1))",1
"232","Influenza A virus (A/swine/29/1937(H1N1))",1
"233","Influenza A virus (A/swine/Cambridge/1939(H1N1))",1
"234","Influenza A virus (A/swine/Italy/309/1983(H3N2))",1
"235","Influenza A virus (A/swine/QC91(H1))",1
"236","Influenza A virus (A/turkey/England/50-92/1991(H5N1))",1
"237","Influenza A virus (A/turkey/Germany/3/91(H1N1))",1
"238","Influenza A virus (A/WSN/1940(H1N1))",1
"239","Influenza C virus (C/Nara/1/85)",1
