,Var1,Freq
176,Human immunodeficiency virus 1,3576
135,GB virus C,348
377,Torque teno virus,328
154,Hepatitis E virus,251
342,Simian immunodeficiency virus,232
147,Hepatitis B virus,186
146,Hepacivirus C,158
177,Human immunodeficiency virus 2,142
172,Human betaherpesvirus 5,133
207,Influenza A virus (A/Hong Kong/156/97(H5N1)),120
273,Norwalk-like virus,119
340,Simian-Human immunodeficiency virus,106
18,Avian avulavirus 1,103
301,Porcine reproductive and respiratory syndrome virus,103
227,JC polyomavirus,99
78,Classical swine fever virus,74
308,Rabies lyssavirus,72
3,Adeno-associated virus - 2,66
112,Enterovirus A71,66
158,HIV-1 CRF04_cpx,55
189,Human rotavirus A,55
194,Human T-cell leukemia virus type I,55
341,Simian foamy virus,55
389,Venezuelan equine encephalitis virus,54
175,Human gammaherpesvirus 8,53
179,Human papillomavirus,53
195,Human T-lymphotropic virus 2,53
55,Bovine viral diarrhea virus 1,47
117,Equine arteritis virus,46
209,Influenza A virus (A/Hong Kong/482/97(H5N1)),46
148,Hepatitis C virus genotype 4,45
211,Influenza A virus (A/Hong Kong/486/97(H5N1)),45
388,Vaccinia virus Tian Tan,45
197,Infectious bursal disease virus,43
129,Fiji disease virus,42
181,Human papillomavirus type 6,40
170,Human alphaherpesvirus 1,39
201,Influenza A virus (A/Chicken/Hong Kong/258/97 (H5N1)),36
215,Influenza A virus (A/Swine/Breugel/97(H3N2)),36
253,Measles morbillivirus,36
346,Sindbis virus,36
95,Dengue virus 3,33
317,Rice tungro bacilliform virus,33
7,African swine fever virus,31
17,Aves polyomavirus 1,30
63,Buzura suppressaria nucleopolyhedrovirus,30
173,Human endogenous retrovirus,30
92,Cucumber mosaic virus,28
131,Foot-and-mouth disease virus - type O,28
250,Mammalian orthoreovirus 3,28
280,Onyong-nyong virus,28
345,Sindbis-like virus YN87448,28
31,Beak and feather disease virus,27
224,Japanese encephalitis virus,26
40,Bombyx mori cypovirus 1,25
180,Human papillomavirus type 16,24
310,Raspberry ringspot virus,24
344,Simian T-lymphotropic virus 1,24
385,Turkey adenovirus 3,24
28,Banana bunchy top virus,21
66,Canid alphaherpesvirus 1,21
75,Chrysanthemum stem necrosis virus,21
136,GB virus C variant troglodytes,21
155,Hepatitis GB virus C-like virus,21
184,Human parvovirus B19,21
216,Influenza A virus (A/swine/Hokkaido/2/1981(H1N1)),21
237,Lymantria dispar multiple nucleopolyhedrovirus,21
243,Macacine gammaherpesvirus 5,21
251,Mammalian rubulavirus 5,21
302,Porcine reproductive and respiratory syndrome virus 1,21
372,Tomato mosaic virus,21
20,Avian leukosis virus,20
299,Porcine circovirus 2,20
90,Coxsackievirus B6,18
358,Suid alphaherpesvirus 1,18
101,Echovirus E30,17
88,Coxsackievirus B2,16
178,Human orthopneumovirus,16
185,Human poliovirus 1,16
312,Rat cytomegalovirus Maastricht,16
384,Tupaiid betaherpesvirus 1,16
9,Aleutian mink disease virus,15
60,Brazilian caprine lentivirus,15
120,Escherichia virus HK022,15
121,Escherichia virus HK97,15
123,Escherichia virus N15,15
182,Human papillomavirus type JC9710,15
206,Influenza A virus (A/duck/Hokkaido/8/1980(H3N8)),15
217,Influenza A virus (A/Taiwan/2243/1992(H1N1)),15
254,Melanoplus sanguinipes entomopoxvirus 'O',15
256,Mesocricetus auratus polyomavirus 1,15
284,Paramecium bursaria Chlorella virus 1,15
298,Porcine adenovirus 3,15
336,Salmonella phage FelixO1,15
347,Snow goose hepatitis B virus,15
357,Sugarcane streak Reunion virus - [Mauritius],15
126,Feline calicivirus,14
41,Bombyx mori nucleopolyhedrovirus,13
67,Canine morbillivirus,13
127,Feline immunodeficiency virus,12
16,Australian bat lyssavirus,10
48,Bovine immunodeficiency virus,10
57,Bovine viral diarrhea virus strain Bega,10
73,Chlorella virus,10
82,Cotesia congregata bracovirus,10
84,Cowpea aphid-borne mosaic virus,10
97,Dobrava-Belgrade orthohantavirus,10
124,European bat 1 lyssavirus,10
133,Fusarium poae virus 1,10
140,Grapevine rupestris stem pitting-associated virus 1,10
149,Hepatitis C virus subtype 1a,10
151,Hepatitis C virus subtype 2b,10
162,Human adenovirus 11,10
187,Human rhinovirus sp.,10
190,Human rotavirus G2P4,10
205,Influenza A virus (A/Christ Hospital/231/82(H3N2)),10
212,Influenza A virus (A/mallard duck/PA/10218/84(H5N2)),10
229,Lactococcus phage Tuc2009,10
263,Murid gammaherpesvirus 4,10
265,Murine hepatitis virus strain 2,10
269,Newcastle disease virus strain F48E9,10
270,Norovirus Bo/Newbury2/1976/UK,10
297,Physalis severe mottle virus,10
314,Regina ranavirus,10
318,Rice tungro spherical virus,10
322,Rotavirus B,10
333,Saimiriine gammaherpesvirus 2,10
350,Spodoptera exigua multiple nucleopolyhedrovirus,10
356,Sugarcane streak Reunion virus,10
374,Tomato yellow leaf curl virus - Mild[Portugal],10
391,VESV-like calicivirus,10
398,Woolly monkey hepatitis B virus,10
94,Dengue virus 2,9
159,HIV-like human cancer virus,9
241,Macacine alphaherpesvirus 1,9
354,Streptococcus virus Sfi19,9
370,Tomato leaf curl Sinaloa virus,8
12,Anatid alphaherpesvirus 1,7
26,Bamboo mosaic virus,7
113,Epiphyas postvittana nucleopolyhedrovirus,7
196,Infectious bronchitis virus,7
249,Mamestra brassicae multiple nucleopolyhedrovirus,7
364,Tick-borne encephalitis virus,7
