,Var1,Freq
4,Feline calicivirus,55
3,Canine rotavirus CU-1,45
7,Human rotavirus A,21
8,Infectious pancreatic necrosis virus,16
5,Hepatitis B virus,15
13,Mammalian orthoreovirus 1,10
15,Reovirus sp.,6
18,Vesicular stomatitis Indiana virus,6
1,Borna disease virus 1,3
10,Lactococcus phage phiLC3,3
11,Lactococcus virus bIL67,3
12,Lettuce necrotic yellows virus,3
14,Mycoplasma virus P1,3
2,Bovine coronavirus,1
6,Human papillomavirus,1
9,Influenza A virus (A/Philippines/2/1982(H3N2)),1
16,Rotavirus sp.,1
17,Turnip mosaic virus,1
,Human immunodeficiency virus 1,0
,Dengue virus 1,0
,Dengue virus 2,0
,Dengue virus 3,0
,West Nile virus,0
