,Var1,Freq
44,Human immunodeficiency virus 1,494
39,Hepatitis E virus,72
38,Hepacivirus C,70
87,Simian immunodeficiency virus,68
82,Reston ebolavirus,42
42,Human endogenous retrovirus,40
45,Human immunodeficiency virus 2,38
52,Human T-lymphotropic virus 2,36
58,Influenza A virus H3N2,30
67,Murine leukemia virus,30
81,Rabies lyssavirus,30
7,Bovine orthopneumovirus,28
36,Hantavirus sp.,28
92,Sudan ebolavirus,24
17,Crimean-Congo hemorrhagic fever orthonairovirus,21
51,Human polyomavirus 1,21
68,Mus musculus polyomavirus 1,21
79,Porcine rotavirus,21
88,Simian T-lymphotropic virus 1,21
98,Trichoplusia ni granulovirus,21
107,Zaire ebolavirus,21
99,Turkey adenovirus 3,16
12,Broad bean mottle virus,15
78,Porcine reproductive and respiratory syndrome virus,14
18,Cucumber mosaic virus,13
53,Infectious bronchitis virus,12
73,Ovine adenovirus 7,12
83,Rice dwarf virus,12
9,Bovine rotavirus,10
10,Bovine rotavirus C,10
14,Cassava common mosaic virus,10
22,Endogenous mouse mammary tumor virus 30,10
30,Feline leukemia virus,10
34,Haemophilus virus HP1,10
55,Influenza A virus (A/Mississippi/1/1985(H3N2)),10
80,Puumala orthohantavirus,10
84,Rice ragged stunt virus,10
90,Snakehead retrovirus,10
1,African horse sickness virus,9
77,Porcine adenovirus 3,9
43,Human gammaherpesvirus 8,8
93,Suid alphaherpesvirus 1,8
5,Bovine alphaherpesvirus 1,6
11,Brazilian mammarenavirus,6
16,Coxsackievirus B3,6
20,Deltapapillomavirus 4,6
24,Equine infectious anemia virus,6
32,Gallid alphaherpesvirus 1,6
40,Hepatovirus A,6
41,Human adenovirus 35,6
62,Macaca mulatta cytomegalovirus,6
66,Mouse mammary tumor virus,6
72,Oliveros mammarenavirus,6
76,Peanut stunt virus,6
95,Theiler's encephalomyelitis virus,6
101,Variola virus,6
31,Fowl aviadenovirus 10,4
46,Human orthopneumovirus,4
8,Bovine papillomavirus,3
23,Enterobacteria phage RB69,3
27,Escherichia virus Lambda,3
28,Escherichia virus T4,3
47,Human papillomavirus type 16,3
48,Human papillomavirus type 31,3
49,Human papillomavirus type 74,3
59,Lily symptomless virus,3
60,Lucerne transient streak virus,3
63,Maize streak virus - B[Vaalhart wheat],3
65,Molluscum contagiosum virus,3
70,Myxoma virus,3
86,Serra do Navio mammarenavirus,3
89,Sindbis-like virus,3
91,Streptococcus phage T12,3
96,Tobacco vein mottling virus,3
102,Venezuelan equine encephalitis virus,3
103,Vesicular stomatitis virus,3
105,Xanthomonas phage Lf,3
6,Bovine gammaherpesvirus 4,2
2,Aleutian mink disease virus,1
3,Amsacta moorei entomopoxvirus,1
4,Arctic ground squirrel hepatitis B virus,1
13,Campoletis sonorensis ichnovirus,1
15,Classical swine fever virus,1
19,Cucumber mosaic virus satellite RNA,1
21,Echovirus E9,1
25,Escherichia virus 186,1
26,Escherichia virus BF23,1
29,Feline calicivirus,1
33,Guinea pig Chlamydia phage,1
35,Hantaan orthohantavirus,1
37,Helminthosporium victoriae virus 190S,1
50,Human parvovirus B19,1
54,Influenza A virus (A/Beijing/32/1992(H3N2)),1
56,Influenza A virus (A/NWS/G70C(H1N9)),1
57,Influenza A virus (A/Tokyo/3/1967(H1)),1
61,Lymantria dispar multiple nucleopolyhedrovirus,1
64,Mamestra brassicae multiple nucleopolyhedrovirus,1
69,Muscovy duck parvovirus,1
71,Odontoglossum ringspot virus,1
74,Ovine lentivirus,1
75,Peanut bud necrosis virus,1
85,Sandfly fever Sicilian virus,1
94,Taterapox virus,1
97,Tomato leaf curl Karnataka virus,1
100,Vaccinia virus,1
104,Vibrio virus K139,1
106,Yam mosaic virus,1
,West Nile virus,0
,Dengue virus 1,0
,Dengue virus 2,0
,Dengue virus 3,0
