,Var1,Freq
102,Human immunodeficiency virus 1,1387
111,Human T-cell leukemia virus type I,201
75,GB virus C,180
100,Human gammaherpesvirus 8,175
40,Canine morbillivirus,115
82,Hepacivirus C,77
103,Human immunodeficiency virus 2,68
29,Bovine leukemia virus,63
79,Helicoverpa armigera nucleopolyhedrovirus,63
87,Hepatitis E virus,56
101,Human herpesvirus 8 type M,55
65,Equine arteritis virus,52
49,Colorado tick fever virus,43
83,Hepatitis B virus,42
112,Human T-lymphotropic virus 2,42
43,Chicken anemia virus,39
105,Human papillomavirus type 16,39
164,Myxoma virus,37
9,Avian avulavirus 1,36
96,Human alphaherpesvirus 2,36
142,Lassa mammarenavirus,31
123,Influenza A virus (A/swine/Hong Kong/168/1993(H1N1)),30
12,Azuki bean mosaic virus,28
15,Barmah Forest virus,28
169,Pampa virus,28
185,Rabies lyssavirus,28
199,Sapporo virus-Parkville,28
166,Norovirus isolates,27
168,Ovine lentivirus,25
54,Cucumber mosaic virus,22
177,Porcine reproductive and respiratory syndrome virus,22
24,Borna disease virus,21
36,Buzura suppressaria nucleopolyhedrovirus,21
84,Hepatitis C virus (isolate Th580),21
85,Hepatitis C virus genotype 2,21
99,Human betaherpesvirus 7,21
121,Influenza A virus (A/Sendai/c182/1994(H3N2)),21
181,Puumala orthohantavirus,21
183,Rabbit hemorrhagic disease virus-V351,21
198,San Miguel sea lion virus,21
207,Soybean dwarf virus,21
64,Equid alphaherpesvirus 1,19
113,Infectious bronchitis virus,18
25,Borna disease virus 1,16
32,Bovine rotavirus,16
204,Simian immunodeficiency virus,16
10,Avian metapneumovirus,15
19,Beet pseudoyellows virus,15
21,Bluetongue virus,15
33,Bovine viral diarrhea virus 1,15
76,Gibbon ape leukemia virus,15
116,Influenza A virus (A/chicken/Hong Kong/14/1976(H1N1)),15
117,Influenza A virus (A/duck/Hong Kong/412/1978(H4N2)),15
120,Influenza A virus (A/ruddy turnstone/New Jersey/47/1985(H4N6)),15
122,Influenza A virus (A/swine/Beijing/94/1991(H1N1)),15
124,Influenza A virus (A/swine/Hong Kong/172/1993(H1N1)),15
125,Influenza A virus (A/swine/Hong Kong/176/1993(H1N1)),15
126,Influenza A virus (A/swine/Iowa/17672/1988(H1N1)),15
129,Influenza A virus (A/turkey/Minnesota/1661/1981(H1N1)),15
130,Influenza A virus (A/Wisconsin/3523/1988(H1N1)),15
133,Influenza C virus (C/Miyagi/2/93),15
154,Molluscum contagiosum virus subtype 1,15
172,Paramecium bursaria Chlorella virus SC1A,15
189,Rice ragged stunt virus,15
200,Sapporo virus-Sapporo,15
210,Sugarcane streak mosaic virus,15
47,Choristoneura fumiferana multiple nucleopolyhedrovirus,14
1,Abutilon mosaic virus-HW,13
137,JC polyomavirus,13
188,Rice dwarf virus,13
56,Cydia pomonella granulovirus,12
203,Sida golden mosaic virus,12
221,Tomato yellow vein streak virus,12
66,Equine infectious anemia virus,11
26,Bovine ephemeral fever virus,10
30,Bovine orthopneumovirus,10
41,Caprine arthritis encephalitis virus,10
42,Cassava vein mosaic virus,10
44,Chilli vein-banding mottle virus,10
46,Choristoneura fumiferana entomopoxvirus,10
57,Cymbidium mosaic virus,10
73,Gallid alphaherpesvirus 1,10
106,Human papillomavirus type 18,10
128,Influenza A virus (A/Tottori/849K4/1994),10
131,Influenza A virus H3N2,10
135,Jamaican tomato infecting geminivirus,10
217,Tomato leaf curl Tanzania virus,10
219,Tomato yellow leaf curl China virus,10
220,Tomato yellow leaf curl virus,10
22,Bombyx mori nucleopolyhedrovirus,9
147,Macroptilium golden mosaic virus,9
152,Measles morbillivirus,8
229,Wheat streak mosaic virus,8
192,Rotavirus A,7
227,Watermelon silver mottle orthotospovirus,7
11,Avian rotavirus PO-13,6
14,Barley mild mosaic virus,6
20,Beet yellows virus,6
48,Colobus monkey papillomavirus type 1,6
51,Cowpea aphid-borne mosaic virus,6
59,Drosophila X virus,6
60,East Asian Passiflora virus,6
61,Echovirus E9,6
70,Feline immunodeficiency virus,6
71,Foot-and-mouth disease virus - type O,6
78,Groundnut ringspot virus,6
81,Heliothis armigera entomopoxvirus,6
94,Human adenovirus E4,6
97,Human alphaherpesvirus 3,6
98,Human betaherpesvirus 5,6
108,Human rhinovirus sp.,6
136,Japanese encephalitis virus,6
149,Maize stripe tenuivirus,6
150,Malacosoma disstria nucleopolyhedrovirus,6
151,Mamestra configurata nucleopolyhedrovirus A,6
156,Mumps rubulavirus,6
159,Murine hepatitis virus,6
163,Myxococcus phage Mx8,6
171,Papiine gammaherpesvirus 1,6
179,Primate calicivirus,6
182,Rabbit endogenous retrovirus H,6
186,Rat cytomegalovirus Maastricht,6
193,Rotavirus B,6
195,Saccharomyces cerevisiae killer virus M1,6
205,Sindbis virus,6
206,Snow Mountain virus,6
209,Striped bass reovirus,6
212,Suid alphaherpesvirus 1,6
214,Sweet potato mild speckling virus,6
218,Tomato mottle virus,6
226,Visna-maedi virus,6
230,Wissadula golden mosaic virus,6
235,Zucchini yellow mosaic virus,6
3,African horse sickness virus,5
38,Cali mammarenavirus,4
39,Canid alphaherpesvirus 1,4
95,Human alphaherpesvirus 1,4
145,Macacine betaherpesvirus 3,4
4,African horse sickness virus 2,3
5,African swine fever virus,3
8,Argentinian mammarenavirus,3
16,BeAn 58058 virus,3
23,Border disease virus - BD31,3
37,Cabbage leaf curl virus,3
45,Chino del tomate virus,3
52,Cowpox virus,3
53,Crimean-Congo hemorrhagic fever orthonairovirus,3
55,Cucurbit yellow stunting disorder virus,3
58,Dengue virus 2,3
74,Gallid alphaherpesvirus 2,3
77,Grapevine leafroll-associated virus 1,3
88,High Plains virus,3
89,Highlands J virus,3
90,Horseradish curly top virus,3
92,Human adenovirus 19,3
104,Human papillomavirus type 11,3
109,Human rotavirus (serotype G2/strain 92A),3
119,Influenza A virus (A/Mallard/WI/944/82),3
127,Influenza A virus (A/swine/Quebec/1747/1990(H1)),3
132,Influenza B virus,3
134,Ippy mammarenavirus,3
141,Lapine rotavirus,3
143,Leuconostoc phage 10MC,3
146,Macacine gammaherpesvirus 4,3
148,Maize chlorotic dwarf virus,3
155,Mouse mammary tumor virus,3
157,Murid betaherpesvirus 1,3
161,Mycobacterium phage DS6A,3
173,Passion fruit woodiness virus,3
175,Pepper golden mosaic virus,3
176,Porcine adenovirus,3
184,Rabbitpox virus,3
190,Rice yellow stunt nucleorhabdovirus,3
191,Rio Mamore hantavirus,3
194,Rotavirus sp.,3
208,Staphylococcus virus 80alpha,3
213,Sunn-hemp mosaic virus,3
215,Tobacco ringspot virus,3
224,Vesicular exanthema of swine virus,3
234,Yellow fever virus,3
7,Anagrapha falcifera MNPV,2
93,Human adenovirus 7,2
2,Adeno-associated virus - 3,1
6,Amsacta moorei entomopoxvirus,1
13,Bacillus phage phi3T,1
17,Bean common mosaic virus,1
18,Bean pod mottle virus,1
27,Bovine immunodeficiency virus FL491,1
28,Bovine immunodeficiency virus OK,1
31,Bovine papillomavirus,1
34,Breda virus,1
35,Broad bean wilt virus 2,1
50,Cotesia rubecula bracovirus,1
62,Ectromelia virus,1
63,Enterobacteria phage SfV,1
67,Escherichia virus HK022,1
68,Escherichia virus T4,1
69,Feline foamy virus,1
72,Friend murine leukemia virus,1
80,Helicoverpa zea single nucleopolyhedrovirus,1
86,Hepatitis delta virus,1
91,Human adenovirus 1,1
107,Human respirovirus 1,1
110,Human rotavirus (STRAIN RV5),1
114,Infectious hematopoietic necrosis virus,1
115,Infectious pancreatic necrosis virus,1
118,Influenza A virus (A/Los Angeles/2/1987(H3N2)),1
138,Kilham rat virus,1
139,La France disease virus,1
140,Lactococcus phage phi31,1
144,Lymantria dispar multiple nucleopolyhedrovirus,1
153,Minute virus of mice,1
158,Murid betaherpesvirus 2,1
160,Murine leukemia virus,1
162,Mycobacterium virus D29,1
165,Narcissus latent virus,1
167,Orgyia pseudotsugata single capsid nuclopolyhedrovirus,1
170,Panicum mosaic virus,1
174,Peanut stunt virus,1
178,Porcine rotavirus,1
180,Pseudomonas virus D3,1
187,Ribgrass mosaic virus,1
196,Saguaro cactus virus,1
197,Salmonella virus PsP3,1
201,Shigella phage SfX,1
202,Sida golden mosaic Florida virus-USA,1
211,Sugarcane striate mosaic virus,1
216,Tomato bushy stunt virus,1
222,Urochloa hoja blanca tenuivirus,1
223,Venezuelan equine encephalitis virus,1
225,Virus-like particle CAK1,1
228,Western equine encephalitis virus,1
231,Wongorr virus,1
232,Xestia c-nigrum granulovirus,1
233,Yam mosaic virus,1
,Dengue virus 1,0
,Dengue virus 3,0
,West Nile virus,0
