Virus,,,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
HIV,HIV,,1299,1624,2163,2860,3275,3128,4574,5778,6988,6971,6689,6136,7553,8968,8050,10470,8141,14055,11497,15183,16494,15839,12043,13459,17524,12399,7515
Hepacivirus C,Hepacivirus C,,665,620,868,906,706,296,464,600,683,536,751,556,1558,1927,1431,2062,2011,1850,1060,1820,2339,1851,2215,1921,2547,1731,1322
Hep. B,Hepatitis B virus,,136,171,315,178,164,121,174,209,561,500,1550,733,1528,1186,1818,1839,2677,1587,2038,2503,1871,2129,2464,2136,1263,1531,1221
ebolavirus,Zaire ebolavirus,,6,50,0,28,0,28,91,0,15,0,10,0,78,91,10,110,0,0,10,0,0,36,2565,11992,9120,831,392
Zika,Zika virus,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,36,0,0,0,90,6,416,294,3275,17602,1283
