Virus,,,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
HIV,HIV,,1299,1624,2163,2860,3275,3128,4574,5778,6988,6971,6689,6136,7553,8968,8050,10470,8141,14055,11497,15183,16494,15839,12043,13459,17524,12399,7515
Dengue v. 2,Dengue virus 2,,55,24,10,93,3,61,20,78,180,130,36,29,300,91,176,156,387,376,391,249,681,322,301,609,727,373,240
Dengue v. 1,Dengue virus 1,,25,23,12,15,0,42,0,21,81,58,172,80,61,6,71,156,134,340,177,494,601,1053,838,697,2746,3398,727
Dengue v. 3,Dengue virus 3,,0,15,16,0,0,36,0,436,0,24,223,165,110,294,330,300,344,183,469,342,161,159,90,321,161,190,28
West Nile virus,West Nile virus,,0,0,0,0,0,21,25,436,43,247,224,392,533,535,290,432,171,373,112,713,1121,928,875,287,742,257,127
