"Auth1","Auth2"
"Fry,K.E.","Alter,H."
"Fry,K.E.","Koonin,E."
"Fry,K.E.","Gallagher,M."
"Fry,K.E.","Alter,M."
"Fry,K.E.","Hadziyannis,S."
"Fry,K.E.","Karayiannis,P."
"Fry,K.E.","Fung,K."
"Fry,K.E.","Nakatsuji,Y."
"Fry,K.E.","Shih,J.W."
"Fry,K.E.","Young,L."
"Fry,K.E.","Piatak,M"
"Fry,K.E.","Jr."
"Fry,K.E.","Hoover,C."
"Fry,K.E.","Fernandez,J."
"Fry,K.E.","Chen,S."
"Fry,K.E.","Zou,J.C."
"Fry,K.E.","Morris,T."
"Fry,K.E.","Hyams,K.C."
"Fry,K.E.","Ismay,S."
"Fry,K.E.","Lifson,J.D."
"Fry,K.E.","Hess,G."
"Fry,K.E.","Foung,S.K."
"Fry,K.E.","Thomas,H."
"Fry,K.E.","Bradley,D."
"Fry,K.E.","Margolis,H."
"Fry,K.E.","Kim,J.P."
"Krawczynski,K.Z.","Alter,H."
"Krawczynski,K.Z.","Koonin,E."
"Krawczynski,K.Z.","Gallagher,M."
"Krawczynski,K.Z.","Alter,M."
"Krawczynski,K.Z.","Hadziyannis,S."
"Krawczynski,K.Z.","Karayiannis,P."
"Krawczynski,K.Z.","Fung,K."
"Krawczynski,K.Z.","Nakatsuji,Y."
"Krawczynski,K.Z.","Shih,J.W."
"Krawczynski,K.Z.","Young,L."
"Krawczynski,K.Z.","Piatak,M"
"Krawczynski,K.Z.","Jr."
"Krawczynski,K.Z.","Hoover,C."
"Krawczynski,K.Z.","Fernandez,J."
"Krawczynski,K.Z.","Chen,S."
"Krawczynski,K.Z.","Zou,J.C."
"Krawczynski,K.Z.","Morris,T."
"Krawczynski,K.Z.","Hyams,K.C."
"Krawczynski,K.Z.","Ismay,S."
"Krawczynski,K.Z.","Lifson,J.D."
"Krawczynski,K.Z.","Hess,G."
"Krawczynski,K.Z.","Foung,S.K."
"Krawczynski,K.Z.","Thomas,H."
"Krawczynski,K.Z.","Bradley,D."
"Krawczynski,K.Z.","Margolis,H."
"Krawczynski,K.Z.","Kim,J.P."
"Alter,H.","Koonin,E."
"Alter,H.","Gallagher,M."
"Alter,H.","Alter,M."
"Alter,H.","Hadziyannis,S."
"Alter,H.","Karayiannis,P."
"Alter,H.","Fung,K."
"Alter,H.","Nakatsuji,Y."
"Alter,H.","Shih,J.W."
"Alter,H.","Young,L."
"Alter,H.","Piatak,M"
"Alter,H.","Jr."
"Alter,H.","Hoover,C."
"Alter,H.","Fernandez,J."
"Alter,H.","Chen,S."
"Alter,H.","Zou,J.C."
"Alter,H.","Morris,T."
"Alter,H.","Hyams,K.C."
"Alter,H.","Ismay,S."
"Alter,H.","Lifson,J.D."
"Alter,H.","Hess,G."
"Alter,H.","Foung,S.K."
"Alter,H.","Thomas,H."
"Alter,H.","Bradley,D."
"Alter,H.","Margolis,H."
"Alter,H.","Kim,J.P."
"Koonin,E.","Gallagher,M."
"Koonin,E.","Alter,M."
"Koonin,E.","Hadziyannis,S."
"Koonin,E.","Karayiannis,P."
"Koonin,E.","Fung,K."
"Koonin,E.","Nakatsuji,Y."
"Koonin,E.","Shih,J.W."
"Koonin,E.","Young,L."
"Koonin,E.","Piatak,M"
"Koonin,E.","Jr."
"Koonin,E.","Hoover,C."
"Koonin,E.","Fernandez,J."
"Koonin,E.","Chen,S."
"Koonin,E.","Zou,J.C."
"Koonin,E.","Morris,T."
"Koonin,E.","Hyams,K.C."
"Koonin,E.","Ismay,S."
"Koonin,E.","Lifson,J.D."
"Koonin,E.","Hess,G."
"Koonin,E.","Foung,S.K."
"Koonin,E.","Thomas,H."
"Koonin,E.","Bradley,D."
"Koonin,E.","Margolis,H."
"Koonin,E.","Kim,J.P."
"Gallagher,M.","Alter,M."
"Gallagher,M.","Hadziyannis,S."
"Gallagher,M.","Karayiannis,P."
"Gallagher,M.","Fung,K."
"Gallagher,M.","Nakatsuji,Y."
"Gallagher,M.","Shih,J.W."
"Gallagher,M.","Young,L."
"Gallagher,M.","Piatak,M"
"Gallagher,M.","Jr."
"Gallagher,M.","Hoover,C."
"Gallagher,M.","Fernandez,J."
"Gallagher,M.","Chen,S."
"Gallagher,M.","Zou,J.C."
"Gallagher,M.","Morris,T."
"Gallagher,M.","Hyams,K.C."
"Gallagher,M.","Ismay,S."
"Gallagher,M.","Lifson,J.D."
"Gallagher,M.","Hess,G."
"Gallagher,M.","Foung,S.K."
"Gallagher,M.","Thomas,H."
"Gallagher,M.","Bradley,D."
"Gallagher,M.","Margolis,H."
"Gallagher,M.","Kim,J.P."
"Alter,M.","Hadziyannis,S."
"Alter,M.","Karayiannis,P."
"Alter,M.","Fung,K."
"Alter,M.","Nakatsuji,Y."
"Alter,M.","Shih,J.W."
"Alter,M.","Young,L."
"Alter,M.","Piatak,M"
"Alter,M.","Jr."
"Alter,M.","Hoover,C."
"Alter,M.","Fernandez,J."
"Alter,M.","Chen,S."
"Alter,M.","Zou,J.C."
"Alter,M.","Morris,T."
"Alter,M.","Hyams,K.C."
"Alter,M.","Ismay,S."
"Alter,M.","Lifson,J.D."
"Alter,M.","Hess,G."
"Alter,M.","Foung,S.K."
"Alter,M.","Thomas,H."
"Alter,M.","Bradley,D."
"Alter,M.","Margolis,H."
"Alter,M.","Kim,J.P."
"Hadziyannis,S.","Karayiannis,P."
"Hadziyannis,S.","Fung,K."
"Hadziyannis,S.","Nakatsuji,Y."
"Hadziyannis,S.","Shih,J.W."
"Hadziyannis,S.","Young,L."
"Hadziyannis,S.","Piatak,M"
"Hadziyannis,S.","Jr."
"Hadziyannis,S.","Hoover,C."
"Hadziyannis,S.","Fernandez,J."
"Hadziyannis,S.","Chen,S."
"Hadziyannis,S.","Zou,J.C."
"Hadziyannis,S.","Morris,T."
"Hadziyannis,S.","Hyams,K.C."
"Hadziyannis,S.","Ismay,S."
"Hadziyannis,S.","Lifson,J.D."
"Hadziyannis,S.","Hess,G."
"Hadziyannis,S.","Foung,S.K."
"Hadziyannis,S.","Thomas,H."
"Hadziyannis,S.","Bradley,D."
"Hadziyannis,S.","Margolis,H."
"Hadziyannis,S.","Kim,J.P."
"Karayiannis,P.","Fung,K."
"Karayiannis,P.","Nakatsuji,Y."
"Karayiannis,P.","Shih,J.W."
"Karayiannis,P.","Young,L."
"Karayiannis,P.","Piatak,M"
"Karayiannis,P.","Jr."
"Karayiannis,P.","Hoover,C."
"Karayiannis,P.","Fernandez,J."
"Karayiannis,P.","Chen,S."
"Karayiannis,P.","Zou,J.C."
"Karayiannis,P.","Morris,T."
"Karayiannis,P.","Hyams,K.C."
"Karayiannis,P.","Ismay,S."
"Karayiannis,P.","Lifson,J.D."
"Karayiannis,P.","Hess,G."
"Karayiannis,P.","Foung,S.K."
"Karayiannis,P.","Thomas,H."
"Karayiannis,P.","Bradley,D."
"Karayiannis,P.","Margolis,H."
"Karayiannis,P.","Kim,J.P."
