"","Auth1","Auth2"
"147","Igarashi,T.","Cartier,L."
"148","Igarashi,T.","Fujiyoshi,T."
"149","Igarashi,T.","Sonoda,S."
"150","Igarashi,T.","Tajima,K."
"151","Igarashi,T.","Hayami,M."
"152","Ido,E.","Zaninovic,V."
"153","Ido,E.","Cartier,L."
"154","Ido,E.","Fujiyoshi,T."
"155","Ido,E.","Sonoda,S."
"156","Ido,E.","Tajima,K."
"157","Ido,E.","Hayami,M."
"158","Zaninovic,V.","Cartier,L."
"159","Zaninovic,V.","Fujiyoshi,T."
"160","Zaninovic,V.","Sonoda,S."
"161","Zaninovic,V.","Tajima,K."
"162","Zaninovic,V.","Hayami,M."
"163","Cartier,L.","Fujiyoshi,T."
"164","Cartier,L.","Sonoda,S."
"165","Cartier,L.","Tajima,K."
"166","Cartier,L.","Hayami,M."
"167","Fujiyoshi,T.","Sonoda,S."
"168","Fujiyoshi,T.","Tajima,K."
"169","Fujiyoshi,T.","Hayami,M."
"170","Sonoda,S.","Tajima,K."
"171","Sonoda,S.","Hayami,M."
"172","Tajima,K.","Hayami,M."
"173","Minamoto,N.","Sugiyama,M."
"174","Minamoto,N.","Ito,N."
"175","Sugiyama,M.","Ito,N."
"176","Minamoto,N.","Sugiyama,M."
"177","Minamoto,N.","Ito,N."
"178","Minamoto,N.","Okadera,K."
"179","Sugiyama,M.","Ito,N."
"180","Sugiyama,M.","Okadera,K."
"181","Ito,N.","Okadera,K."
"182","Chayama,K.","Tsubota,A."
"183","Chayama,K.","Arase,Y."
"184","Tsubota,A.","Arase,Y."
"185","Kashiwazaki,S.","Lee,K."
"186","Kashiwazaki,S.","Hibi,T."
"187","Kashiwazaki,S.","So,I."
"188","Lee,K.","Hibi,T."
"189","Lee,K.","So,I."
"190","Hibi,T.","So,I."
"191","Nagano,H.","Furusawa,I."
"192","Okamoto,H.","Tokita,H."
"193","Okamoto,H.","Iizuka,H."
"194","Okamoto,H.","Kishimoto,J."
"195","Okamoto,H.","Tsuda,F."
"196","Okamoto,H.","Miyakawa,Y."
"197","Okamoto,H.","Mayumi,M."
"198","Tokita,H.","Iizuka,H."
"199","Tokita,H.","Kishimoto,J."
"200","Tokita,H.","Tsuda,F."
"201","Tokita,H.","Miyakawa,Y."
"202","Tokita,H.","Mayumi,M."
"203","Iizuka,H.","Kishimoto,J."
"204","Iizuka,H.","Tsuda,F."
"205","Iizuka,H.","Miyakawa,Y."
"206","Iizuka,H.","Mayumi,M."
"207","Kishimoto,J.","Tsuda,F."
"208","Kishimoto,J.","Miyakawa,Y."
"209","Kishimoto,J.","Mayumi,M."
"210","Tsuda,F.","Miyakawa,Y."
"211","Tsuda,F.","Mayumi,M."
"212","Miyakawa,Y.","Mayumi,M."
"213","Fang,R.-X.","Cheng,N."
"214","Fang,R.-X.","Pu,Z."
"215","Fang,R.-X.","Fang,Z."
"216","Cheng,N.","Pu,Z."
"217","Cheng,N.","Fang,Z."
"218","Pu,Z.","Fang,Z."
"219","Kubo,K.","Fujiyoshi,T."
"220","Kubo,K.","Kamei,K."
"221","Kubo,K.","Richt,J.A."
"222","Kubo,K.","Kitze,B."
"223","Kubo,K.","Takigawa,M"
"224","Kubo,K.",",Sonoda,S."
"225","Fujiyoshi,T.","Kamei,K."
"226","Fujiyoshi,T.","Richt,J.A."
"227","Fujiyoshi,T.","Kitze,B."
"228","Fujiyoshi,T.","Takigawa,M"
"229","Fujiyoshi,T.",",Sonoda,S."
"230","Kamei,K.","Richt,J.A."
"231","Kamei,K.","Kitze,B."
"232","Kamei,K.","Takigawa,M"
"233","Kamei,K.",",Sonoda,S."
"234","Richt,J.A.","Kitze,B."
"235","Richt,J.A.","Takigawa,M"
"236","Richt,J.A.",",Sonoda,S."
"237","Kitze,B.","Takigawa,M"
"238","Kitze,B.",",Sonoda,S."
"239","Takigawa,M",",Sonoda,S."
"240","Iwai,H.","Yamashita,Y."
"241","Iwai,H.","Nishi,N."
"242","Iwai,H.","Arai,K."
"243","Yamashita,Y.","Nishi,N."
"244","Yamashita,Y.","Arai,K."
"245","Nishi,N.","Arai,K."
"246","Ma,S.","Arakaki,S."
"247","Ma,S.","Makino,Y."
"248","Ma,S.","Fukunaga,T."
"249","Arakaki,S.","Makino,Y."
"250","Arakaki,S.","Fukunaga,T."
"251","Makino,Y.","Fukunaga,T."
"252","Hata,A.","Mukai,T."
"253","Hata,A.","Isegawa,Y."
"254","Hata,A.","Yamanishi,K."
"255","Mukai,T.","Isegawa,Y."
"256","Mukai,T.","Yamanishi,K."
"257","Isegawa,Y.","Yamanishi,K."
"258","Takase-Yoden,S.","Watanabe,R."
"259","Asahi,Y.","Sugawara,K."
"260","Asahi,Y.","Muraki,Y."
"261","Asahi,Y.","Hongo,S."
"262","Asahi,Y.","Kitame,F."
"263","Asahi,Y.","Nakamura,K."
"264","Sugawara,K.","Muraki,Y."
"265","Sugawara,K.","Hongo,S."
"266","Sugawara,K.","Kitame,F."
"267","Sugawara,K.","Nakamura,K."
"268","Muraki,Y.","Hongo,S."
"269","Muraki,Y.","Kitame,F."
"270","Muraki,Y.","Nakamura,K."
"271","Hongo,S.","Kitame,F."
"272","Hongo,S.","Nakamura,K."
"273","Kitame,F.","Nakamura,K."
"274","Kirisawa,R.","Kobayashi,T."
"275","Kirisawa,R.","Kawakami,Y."
"276","Kirisawa,R.","Iwai,H."
"277","Kobayashi,T.","Kawakami,Y."
"278","Kobayashi,T.","Iwai,H."
"279","Kawakami,Y.","Iwai,H."
"280","Kirisawa,R.","Kobayashi,T."
"281","Kirisawa,R.","Kawakami,Y."
"282","Kirisawa,R.","Iwai,H."
"283","Kobayashi,T.","Kawakami,Y."
"284","Kobayashi,T.","Iwai,H."
"285","Kawakami,Y.","Iwai,H."
"286","Kirisawa,R.","Kobayashi,T."
"287","Kirisawa,R.","Kawakami,Y."
"288","Kirisawa,R.","Iwai,H."
"289","Kobayashi,T.","Kawakami,Y."
"290","Kobayashi,T.","Iwai,H."
"291","Kawakami,Y.","Iwai,H."
"292","Liu,Y.-L.","Cai,J."
"293","Liu,Y.-L.","Li,D."
"294","Liu,Y.-L.","Qin,B."
"295","Liu,Y.-L.","Tien,P."
"296","Cai,J.","Li,D."
"297","Cai,J.","Qin,B."
"298","Cai,J.","Tien,P."
"299","Li,D.","Qin,B."
"300","Li,D.","Tien,P."
"301","Qin,B.","Tien,P."
"302","Okamoto,Y.","Shiosaki,K."
"303","Okamoto,Y.","Eda,Y."
"304","Okamoto,Y.","Tokiyoshi,S."
"305","Okamoto,Y.","Yamaguchi,Y."
"306","Okamoto,Y.","Gojobori,T."
"307","Okamoto,Y.","Hachimori,T."
"308","Okamoto,Y.","Yamazaki,S."
"309","Okamoto,Y.","Honda,M."
"310","Shiosaki,K.","Eda,Y."
"311","Shiosaki,K.","Tokiyoshi,S."
"312","Shiosaki,K.","Yamaguchi,Y."
"313","Shiosaki,K.","Gojobori,T."
"314","Shiosaki,K.","Hachimori,T."
"315","Shiosaki,K.","Yamazaki,S."
"316","Shiosaki,K.","Honda,M."
"317","Eda,Y.","Tokiyoshi,S."
"318","Eda,Y.","Yamaguchi,Y."
"319","Eda,Y.","Gojobori,T."
"320","Eda,Y.","Hachimori,T."
"321","Eda,Y.","Yamazaki,S."
"322","Eda,Y.","Honda,M."
"323","Tokiyoshi,S.","Yamaguchi,Y."
"324","Tokiyoshi,S.","Gojobori,T."
"325","Tokiyoshi,S.","Hachimori,T."
"326","Tokiyoshi,S.","Yamazaki,S."
"327","Tokiyoshi,S.","Honda,M."
"328","Yamaguchi,Y.","Gojobori,T."
"329","Yamaguchi,Y.","Hachimori,T."
"330","Yamaguchi,Y.","Yamazaki,S."
"331","Yamaguchi,Y.","Honda,M."
"332","Gojobori,T.","Hachimori,T."
"333","Gojobori,T.","Yamazaki,S."
"334","Gojobori,T.","Honda,M."
"335","Hachimori,T.","Yamazaki,S."
"336","Hachimori,T.","Honda,M."
"337","Yamazaki,S.","Honda,M."
"338","Olaleye,D.O.","Sheng,Z."
"339","Olaleye,D.O.","Howard,T.M."
"340","Olaleye,D.O.","Rasheed,S."
"341","Sheng,Z.","Howard,T.M."
"342","Sheng,Z.","Rasheed,S."
"343","Howard,T.M.","Rasheed,S."
"344","Baylot,F.","Moynet,D.J."
"345","Baylot,F.","Guillemain,B."
"346","Moynet,D.J.","Guillemain,B."
"347","Baylot,F.","Moynet,D.J."
"348","Baylot,F.","Guillemain,B."
"349","Moynet,D.J.","Guillemain,B."
"350","Georges-Gobinet,A.","Moynet,D.J."
"351","Georges-Gobinet,A.","Guillemain,B."
"352","Moynet,D.J.","Guillemain,B."
"353","Baylot,F.","Edouard,E."
"354","Baylot,F.","Moynet,D.J."
"355","Baylot,F.","Guillemain,B."
"356","Edouard,E.","Moynet,D.J."
"357","Edouard,E.","Guillemain,B."
"358","Moynet,D.J.","Guillemain,B."
"359","de la Torre,J.C.","Bode,L."
"360","de la Torre,J.C.","Durrwald,R."
"361","de la Torre,J.C.","Cubitt,B."
"362","de la Torre,J.C.","Ludwig,H."
"363","Bode,L.","Durrwald,R."
"364","Bode,L.","Cubitt,B."
"365","Bode,L.","Ludwig,H."
"366","Durrwald,R.","Cubitt,B."
"367","Durrwald,R.","Ludwig,H."
"368","Cubitt,B.","Ludwig,H."
"369","Arens,M.Q.","Ratner,L."
"370","Arens,M.Q.","Joseph,T."
"371","Arens,M.Q.","Bandres,J."
"372","Ratner,L.","Joseph,T."
"373","Ratner,L.","Bandres,J."
"374","Joseph,T.","Bandres,J."
"375","Guan,Y.","Shortridge,K.F."
"376","Guan,Y.","Krauss,S."
"377","Guan,Y.","Li,P.H."
"378","Guan,Y.","Kawaoka,Y."
"379","Guan,Y.","Webster,R.G."
"380","Shortridge,K.F.","Krauss,S."
"381","Shortridge,K.F.","Li,P.H."
"382","Shortridge,K.F.","Kawaoka,Y."
"383","Shortridge,K.F.","Webster,R.G."
"384","Krauss,S.","Li,P.H."
"385","Krauss,S.","Kawaoka,Y."
"386","Krauss,S.","Webster,R.G."
"387","Li,P.H.","Kawaoka,Y."
"388","Li,P.H.","Webster,R.G."
"389","Kawaoka,Y.","Webster,R.G."
"390","Dall,D.J.","Osborne,R.J."
"391","Dall,D.J.","Sriskantha,A."
"392","Dall,D.J.","Symonds,T.M."
"393","Osborne,R.J.","Sriskantha,A."
"394","Osborne,R.J.","Symonds,T.M."
"395","Sriskantha,A.","Symonds,T.M."
"396","Theilmann,D.A.","Stewart,S."
"397","de Lamballerie,X.","Charrel,R.N."
"398","de Lamballerie,X.","Abed,Y."
"399","de Lamballerie,X.","Biagini,P."
"400","de Lamballerie,X.","Cantaloube,J.F."
"401","de Lamballerie,X.","de Micco,P.H."
"402","Charrel,R.N.","Abed,Y."
"403","Charrel,R.N.","Biagini,P."
"404","Charrel,R.N.","Cantaloube,J.F."
"405","Charrel,R.N.","de Micco,P.H."
"406","Abed,Y.","Biagini,P."
"407","Abed,Y.","Cantaloube,J.F."
"408","Abed,Y.","de Micco,P.H."
"409","Biagini,P.","Cantaloube,J.F."
"410","Biagini,P.","de Micco,P.H."
"411","Cantaloube,J.F.","de Micco,P.H."
"412","Dube,S.","Bachman,S."
"413","Dube,S.","Spicer,T."
"414","Dube,S.","Love,J."
"415","Dube,S.","Esteban,E."
"416","Dube,S.","Ferrer,J."
"417","Dube,S.","Poiesz,B.J."
"418","Bachman,S.","Spicer,T."
"419","Bachman,S.","Love,J."
"420","Bachman,S.","Esteban,E."
"421","Bachman,S.","Ferrer,J."
"422","Bachman,S.","Poiesz,B.J."
"423","Spicer,T.","Love,J."
"424","Spicer,T.","Esteban,E."
"425","Spicer,T.","Ferrer,J."
"426","Spicer,T.","Poiesz,B.J."
"427","Love,J.","Esteban,E."
"428","Love,J.","Ferrer,J."
"429","Love,J.","Poiesz,B.J."
"430","Esteban,E.","Ferrer,J."
"431","Esteban,E.","Poiesz,B.J."
"432","Ferrer,J.","Poiesz,B.J."
"433","Dube,S.","Bachman,S."
"434","Dube,S.","Spicer,T."
"435","Dube,S.","Love,J."
"436","Dube,S.","Esteban,E."
"437","Dube,S.","Ferrer,J."
"438","Dube,S.","Poiesz,B.J."
"439","Bachman,S.","Spicer,T."
"440","Bachman,S.","Love,J."
"441","Bachman,S.","Esteban,E."
"442","Bachman,S.","Ferrer,J."
"443","Bachman,S.","Poiesz,B.J."
"444","Spicer,T.","Love,J."
"445","Spicer,T.","Esteban,E."
"446","Spicer,T.","Ferrer,J."
"447","Spicer,T.","Poiesz,B.J."
"448","Love,J.","Esteban,E."
"449","Love,J.","Ferrer,J."
"450","Love,J.","Poiesz,B.J."
"451","Esteban,E.","Ferrer,J."
"452","Esteban,E.","Poiesz,B.J."
"453","Ferrer,J.","Poiesz,B.J."
"454","Dube,S.","Bachman,S."
"455","Dube,S.","Spicer,T."
"456","Dube,S.","Love,J."
"457","Dube,S.","Esteban,E."
"458","Dube,S.","Ferrer,J."
"459","Dube,S.","Poiesz,B.J."
"460","Bachman,S.","Spicer,T."
"461","Bachman,S.","Love,J."
"462","Bachman,S.","Esteban,E."
"463","Bachman,S.","Ferrer,J."
"464","Bachman,S.","Poiesz,B.J."
"465","Spicer,T.","Love,J."
"466","Spicer,T.","Esteban,E."
"467","Spicer,T.","Ferrer,J."
"468","Spicer,T.","Poiesz,B.J."
"469","Love,J.","Esteban,E."
"470","Love,J.","Ferrer,J."
"471","Love,J.","Poiesz,B.J."
"472","Esteban,E.","Ferrer,J."
"473","Esteban,E.","Poiesz,B.J."
"474","Ferrer,J.","Poiesz,B.J."
"475","Ball,J.K.","Sheehy,N."
"476","Guan,Y.","Shortridge,K.F."
"477","Guan,Y.","Krauss,S."
"478","Guan,Y.","Li,P.H."
"479","Guan,Y.","Kawaoka,Y."
"480","Guan,Y.","Webster,R.G."
"481","Shortridge,K.F.","Krauss,S."
"482","Shortridge,K.F.","Li,P.H."
"483","Shortridge,K.F.","Kawaoka,Y."
"484","Shortridge,K.F.","Webster,R.G."
"485","Krauss,S.","Li,P.H."
"486","Krauss,S.","Kawaoka,Y."
"487","Krauss,S.","Webster,R.G."
"488","Li,P.H.","Kawaoka,Y."
"489","Li,P.H.","Webster,R.G."
"490","Kawaoka,Y.","Webster,R.G."
"491","Sherefa,K.","Johansson,B."
"492","Sherefa,K.","Sonnerborg,A."
"493","Johansson,B.","Sonnerborg,A."
"494","Johansson,B.","Sherefa,K."
"495","Johansson,B.","Sonnerborg,A."
"496","Sherefa,K.","Sonnerborg,A."
"497","Schwartz,D.H.","Laeyendecker,O.L."
"498","Schwartz,D.H.","Song,H."
"499","Schwartz,D.H.","Ray,S.C."
"500","Laeyendecker,O.L.","Song,H."
"501","Laeyendecker,O.L.","Ray,S.C."
"502","Song,H.","Ray,S.C."
"503","Klasse,P.J.","Boyd,M.T."
"504","Klasse,P.J.","Weiss,R.A."
"505","Klasse,P.J.","Schulz,T.F."
"506","Boyd,M.T.","Weiss,R.A."
"507","Boyd,M.T.","Schulz,T.F."
"508","Weiss,R.A.","Schulz,T.F."
"509","Wang,F.","Franken,M."
"510","Wang,F.","Annis,B."
"511","Franken,M.","Annis,B."
"512","Wang,F.","Franken,M."
"513","Wang,F.","Annis,B."
"514","Franken,M.","Annis,B."
"515","Guan,Y.","Shortridge,K.F."
"516","Guan,Y.","Krauss,S."
"517","Guan,Y.","Li,P.H."
"518","Guan,Y.","Kawaoka,Y."
"519","Guan,Y.","Webster,R.G."
"520","Shortridge,K.F.","Krauss,S."
"521","Shortridge,K.F.","Li,P.H."
"522","Shortridge,K.F.","Kawaoka,Y."
"523","Shortridge,K.F.","Webster,R.G."
"524","Krauss,S.","Li,P.H."
"525","Krauss,S.","Kawaoka,Y."
"526","Krauss,S.","Webster,R.G."
"527","Li,P.H.","Kawaoka,Y."
"528","Li,P.H.","Webster,R.G."
"529","Kawaoka,Y.","Webster,R.G."
"530","Jia,W.","Naqi,S.A."
"531","Barbosa,E.F.","Carneiro-Proietti,A.B.F."
"532","Barbosa,E.F.","Kroon,E.G."
"533","Barbosa,E.F.","Ferreira,P.C.P."
"534","Carneiro-Proietti,A.B.F.","Kroon,E.G."
"535","Carneiro-Proietti,A.B.F.","Ferreira,P.C.P."
"536","Kroon,E.G.","Ferreira,P.C.P."
"537","Barbosa,E.F.","Carneiro-Proietti,A.B.F."
"538","Barbosa,E.F.","Kroon,E.G."
"539","Barbosa,E.F.","Ferreira,P.C.P."
"540","Carneiro-Proietti,A.B.F.","Kroon,E.G."
"541","Carneiro-Proietti,A.B.F.","Ferreira,P.C.P."
"542","Kroon,E.G.","Ferreira,P.C.P."
"543","Barbosa,E.F.","Carneiro-Proietti,A.B.F."
"544","Barbosa,E.F.","Kroon,E.G."
"545","Barbosa,E.F.","Ferreira,P.C.P."
"546","Carneiro-Proietti,A.B.F.","Kroon,E.G."
"547","Carneiro-Proietti,A.B.F.","Ferreira,P.C.P."
"548","Kroon,E.G.","Ferreira,P.C.P."
"549","Wright,P.J.","Cauchi,M.R."
"550","Wright,P.J.","Doultree,J.C."
"551","Wright,P.J.","Marshall,J.A."
"552","Cauchi,M.R.","Doultree,J.C."
"553","Cauchi,M.R.","Marshall,J.A."
"554","Doultree,J.C.","Marshall,J.A."
"555","Jackson,R.J.","Hall,D.F."
"556","Palhan,V.B.","Gopinathan,K.P."
"557","Guan,Y.","Shortridge,K.F."
"558","Guan,Y.","Krauss,S."
"559","Guan,Y.","Li,P.H."
"560","Guan,Y.","Kawaoka,Y."
"561","Guan,Y.","Webster,R.G."
"562","Shortridge,K.F.","Krauss,S."
"563","Shortridge,K.F.","Li,P.H."
"564","Shortridge,K.F.","Kawaoka,Y."
"565","Shortridge,K.F.","Webster,R.G."
"566","Krauss,S.","Li,P.H."
"567","Krauss,S.","Kawaoka,Y."
"568","Krauss,S.","Webster,R.G."
"569","Li,P.H.","Kawaoka,Y."
"570","Li,P.H.","Webster,R.G."
