"","Auth1","Auth2"
"652","Kawaoka,Y.","Webster,R.G."
"653","Wolinsky,S.M.","Ganeshan,S."
"654","Wolinsky,S.M.","Korber,B.T."
"655","Wolinsky,S.M.","Dickover,R."
"656","Wolinsky,S.M.","Bryson,Y."
"657","Ganeshan,S.","Korber,B.T."
"658","Ganeshan,S.","Dickover,R."
"659","Ganeshan,S.","Bryson,Y."
"660","Korber,B.T.","Dickover,R."
"661","Korber,B.T.","Bryson,Y."
"662","Dickover,R.","Bryson,Y."
"663","Mason,C.L.","Leong,J.C."
"664","McCutchan,F.E.","Artenstein,A.W."
"665","McCutchan,F.E.","Sanders-Buell,E."
"666","McCutchan,F.E.","Slaminen,M.O."
"667","McCutchan,F.E.","Carr,J.K."
"668","McCutchan,F.E.","Mascola,J.R."
"669","Artenstein,A.W.","Sanders-Buell,E."
"670","Artenstein,A.W.","Slaminen,M.O."
"671","Artenstein,A.W.","Carr,J.K."
"672","Artenstein,A.W.","Mascola,J.R."
"673","Sanders-Buell,E.","Slaminen,M.O."
"674","Sanders-Buell,E.","Carr,J.K."
"675","Sanders-Buell,E.","Mascola,J.R."
"676","Slaminen,M.O.","Carr,J.K."
"677","Slaminen,M.O.","Mascola,J.R."
"678","Carr,J.K.","Mascola,J.R."
"679","Guan,Y.","Shortridge,K.F."
"680","Guan,Y.","Krauss,S."
"681","Guan,Y.","Li,P.H."
"682","Guan,Y.","Kawaoka,Y."
"683","Guan,Y.","Webster,R.G."
"684","Shortridge,K.F.","Krauss,S."
"685","Shortridge,K.F.","Li,P.H."
"686","Shortridge,K.F.","Kawaoka,Y."
"687","Shortridge,K.F.","Webster,R.G."
"688","Krauss,S.","Li,P.H."
"689","Krauss,S.","Kawaoka,Y."
"690","Krauss,S.","Webster,R.G."
"691","Li,P.H.","Kawaoka,Y."
"692","Li,P.H.","Webster,R.G."
"693","Kawaoka,Y.","Webster,R.G."
"694","Lindstrom,S.E.","Sugita,S."
"695","Lindstrom,S.E.","Endo,A."
"696","Lindstrom,S.E.","Ishida,M."
"697","Lindstrom,S.E.","Huang,P."
"698","Lindstrom,S.E.","Xi,S.H"
"699","Lindstrom,S.E.",",Nerome,K."
"700","Sugita,S.","Endo,A."
"701","Sugita,S.","Ishida,M."
"702","Sugita,S.","Huang,P."
"703","Sugita,S.","Xi,S.H"
"704","Sugita,S.",",Nerome,K."
"705","Endo,A.","Ishida,M."
"706","Endo,A.","Huang,P."
"707","Endo,A.","Xi,S.H"
"708","Endo,A.",",Nerome,K."
"709","Ishida,M.","Huang,P."
"710","Ishida,M.","Xi,S.H"
"711","Ishida,M.",",Nerome,K."
"712","Huang,P.","Xi,S.H"
"713","Huang,P.",",Nerome,K."
"714","Xi,S.H",",Nerome,K."
"715","Parker,M.L.","Doermann,A.H."
"716","Muramatsu,S.","Brown,K.E."
"717","Guan,Y.","Shortridge,K.F."
"718","Guan,Y.","Krauss,S."
"719","Guan,Y.","Li,P.H."
"720","Guan,Y.","Kawaoka,Y."
"721","Guan,Y.","Webster,R.G."
"722","Shortridge,K.F.","Krauss,S."
"723","Shortridge,K.F.","Li,P.H."
"724","Shortridge,K.F.","Kawaoka,Y."
"725","Shortridge,K.F.","Webster,R.G."
"726","Krauss,S.","Li,P.H."
"727","Krauss,S.","Kawaoka,Y."
"728","Krauss,S.","Webster,R.G."
"729","Li,P.H.","Kawaoka,Y."
"730","Li,P.H.","Webster,R.G."
"731","Kawaoka,Y.","Webster,R.G."
"732","Artenstein,A.W.","Hegerich,P.A."
"733","Guan,Y.","Shortridge,K.F."
"734","Guan,Y.","Krauss,S."
"735","Guan,Y.","Li,P.H."
"736","Guan,Y.","Kawaoka,Y."
"737","Guan,Y.","Webster,R.G."
"738","Shortridge,K.F.","Krauss,S."
"739","Shortridge,K.F.","Li,P.H."
"740","Shortridge,K.F.","Kawaoka,Y."
"741","Shortridge,K.F.","Webster,R.G."
"742","Krauss,S.","Li,P.H."
"743","Krauss,S.","Kawaoka,Y."
"744","Krauss,S.","Webster,R.G."
"745","Li,P.H.","Kawaoka,Y."
"746","Li,P.H.","Webster,R.G."
"747","Kawaoka,Y.","Webster,R.G."
"748","Holland,T.C.","Saharkhiz-Langroodi,A."
"749","Madden,C.R.","Shih,D.S."
"750","Kyaw-Zin-Thant","Igarashi,A."
"751","Chinsangaram,J.","McBride,J.W."
"752","Chinsangaram,J.","Balasuriya,U.B.R."
"753","Chinsangaram,J.","Osburn,B.I."
"754","McBride,J.W.","Balasuriya,U.B.R."
"755","McBride,J.W.","Osburn,B.I."
"756","Balasuriya,U.B.R.","Osburn,B.I."
"757","O'Shannessy,D.J.","O'Donnell,K.C."
"758","O'Shannessy,D.J.","Hellmig,B."
"759","O'Shannessy,D.J.","Shabon,U."
"760","O'Shannessy,D.J.","O'Brien,S."
"761","O'Shannessy,D.J.","Chamberlain,P."
"762","O'Shannessy,D.J.","Holmes,S."
"763","O'Shannessy,D.J.","Abdel-Meguid,S.S."
"764","O'Shannessy,D.J.","Debouck,C.M."
"765","O'Donnell,K.C.","Hellmig,B."
"766","O'Donnell,K.C.","Shabon,U."
"767","O'Donnell,K.C.","O'Brien,S."
"768","O'Donnell,K.C.","Chamberlain,P."
"769","O'Donnell,K.C.","Holmes,S."
"770","O'Donnell,K.C.","Abdel-Meguid,S.S."
"771","O'Donnell,K.C.","Debouck,C.M."
"772","Hellmig,B.","Shabon,U."
"773","Hellmig,B.","O'Brien,S."
"774","Hellmig,B.","Chamberlain,P."
"775","Hellmig,B.","Holmes,S."
"776","Hellmig,B.","Abdel-Meguid,S.S."
"777","Hellmig,B.","Debouck,C.M."
"778","Shabon,U.","O'Brien,S."
"779","Shabon,U.","Chamberlain,P."
"780","Shabon,U.","Holmes,S."
"781","Shabon,U.","Abdel-Meguid,S.S."
"782","Shabon,U.","Debouck,C.M."
"783","O'Brien,S.","Chamberlain,P."
"784","O'Brien,S.","Holmes,S."
"785","O'Brien,S.","Abdel-Meguid,S.S."
"786","O'Brien,S.","Debouck,C.M."
"787","Chamberlain,P.","Holmes,S."
"788","Chamberlain,P.","Abdel-Meguid,S.S."
"789","Chamberlain,P.","Debouck,C.M."
"790","Holmes,S.","Abdel-Meguid,S.S."
"791","Holmes,S.","Debouck,C.M."
"792","Abdel-Meguid,S.S.","Debouck,C.M."
"793","Tyack,S.G.","Johnson,M.A."
"794","Guan,Y.","Shortridge,K.F."
"795","Guan,Y.","Krauss,S."
"796","Guan,Y.","Li,P.H."
"797","Guan,Y.","Kawaoka,Y."
"798","Guan,Y.","Webster,R.G."
"799","Shortridge,K.F.","Krauss,S."
"800","Shortridge,K.F.","Li,P.H."
"801","Shortridge,K.F.","Kawaoka,Y."
"802","Shortridge,K.F.","Webster,R.G."
"803","Krauss,S.","Li,P.H."
"804","Krauss,S.","Kawaoka,Y."
"805","Krauss,S.","Webster,R.G."
"806","Li,P.H.","Kawaoka,Y."
"807","Li,P.H.","Webster,R.G."
"808","Kawaoka,Y.","Webster,R.G."
"809","Schwartz,D.H.","Laeyendecker,O.L."
"810","Schwartz,D.H.","Song,H."
"811","Schwartz,D.H.","Ray,S.C."
"812","Laeyendecker,O.L.","Song,H."
"813","Laeyendecker,O.L.","Ray,S.C."
"814","Song,H.","Ray,S.C."
"815","Schwartz,D.H.","Laeyendecker,O.L."
"816","Schwartz,D.H.","Song,H."
"817","Schwartz,D.H.","Ray,S.C."
"818","Laeyendecker,O.L.","Song,H."
"819","Laeyendecker,O.L.","Ray,S.C."
"820","Song,H.","Ray,S.C."
"821","Schwartz,D.H.","Laeyendecker,O.L."
"822","Schwartz,D.H.","Song,H."
"823","Schwartz,D.H.","Ray,S.C."
"824","Laeyendecker,O.L.","Song,H."
"825","Laeyendecker,O.L.","Ray,S.C."
"826","Song,H.","Ray,S.C."
"827","Schwartz,D.H.","Laeyendecker,O.L."
"828","Schwartz,D.H.","Song,H."
"829","Schwartz,D.H.","Ray,S.C."
"830","Laeyendecker,O.L.","Song,H."
"831","Laeyendecker,O.L.","Ray,S.C."
"832","Song,H.","Ray,S.C."
"833","Schwartz,D.H.","Laeyendecker,O.L."
"834","Schwartz,D.H.","Song,H."
"835","Schwartz,D.H.","Ray,S.C."
"836","Laeyendecker,O.L.","Song,H."
"837","Laeyendecker,O.L.","Ray,S.C."
"838","Song,H.","Ray,S.C."
"839","Dewey,R.A.","Semorile,L."
"840","Dewey,R.A.","Crisci,J.V."
"841","Dewey,R.A.","Grau,O."
"842","Semorile,L.","Crisci,J.V."
"843","Semorile,L.","Grau,O."
"844","Crisci,J.V.","Grau,O."
"845","Julien,B.","Calendar,R."
"846","Ferrer,J.F.","Esteban,E."
"847","Ferrer,J.F.","Dube,S."
"848","Ferrer,J.F.","Basombrio,M.A."
"849","Ferrer,J.F.","Segovia,A."
"850","Ferrer,J.F.","Ramos,P."
"851","Ferrer,J.F.","Dube,D.K."
"852","Ferrer,J.F.","Sayre,K."
"853","Ferrer,J.F.","Aguayo,N."
"854","Ferrer,J.F.","Poiesz,B.J."
"855","Esteban,E.","Dube,S."
"856","Esteban,E.","Basombrio,M.A."
"857","Esteban,E.","Segovia,A."
"858","Esteban,E.","Ramos,P."
"859","Esteban,E.","Dube,D.K."
"860","Esteban,E.","Sayre,K."
"861","Esteban,E.","Aguayo,N."
"862","Esteban,E.","Poiesz,B.J."
"863","Dube,S.","Basombrio,M.A."
"864","Dube,S.","Segovia,A."
"865","Dube,S.","Ramos,P."
"866","Dube,S.","Dube,D.K."
"867","Dube,S.","Sayre,K."
"868","Dube,S.","Aguayo,N."
"869","Dube,S.","Poiesz,B.J."
"870","Basombrio,M.A.","Segovia,A."
"871","Basombrio,M.A.","Ramos,P."
"872","Basombrio,M.A.","Dube,D.K."
"873","Basombrio,M.A.","Sayre,K."
"874","Basombrio,M.A.","Aguayo,N."
"875","Basombrio,M.A.","Poiesz,B.J."
"876","Segovia,A.","Ramos,P."
"877","Segovia,A.","Dube,D.K."
"878","Segovia,A.","Sayre,K."
"879","Segovia,A.","Aguayo,N."
"880","Segovia,A.","Poiesz,B.J."
"881","Ramos,P.","Dube,D.K."
"882","Ramos,P.","Sayre,K."
"883","Ramos,P.","Aguayo,N."
"884","Ramos,P.","Poiesz,B.J."
"885","Dube,D.K.","Sayre,K."
"886","Dube,D.K.","Aguayo,N."
"887","Dube,D.K.","Poiesz,B.J."
"888","Sayre,K.","Aguayo,N."
"889","Sayre,K.","Poiesz,B.J."
"890","Aguayo,N.","Poiesz,B.J."
"891","Jia,W.","Naqi,S.A."
"892","Stenger,D.C.","Klute,K.A."
"893","Stenger,D.C.","Nadler,S.A."
"894","Klute,K.A.","Nadler,S.A."
"895","Ren,S.","Lin,S.-F."
"896","Ren,S.","Miller,G."
"897","Lin,S.-F.","Miller,G."
"898","Lin,S.-F.","Sun,R."
"899","Lin,S.-F.","Miller,G."
"900","Sun,R.","Miller,G."
"901","Sun,R.","Lin,S.-F."
"902","Sun,R.","Miller,G."
"903","Lin,S.-F.","Miller,G."
"904","Telenta,F.","Palacios,Poggio."
"905","Telenta,F.","G.F."
"906","Telenta,F.","Lopez,J.L."
"907","Telenta,F.","Gonzalez,J."
"908","Telenta,F.","Lemberg,A."
"909","Telenta,F.","Campos,R."
"910","Palacios,Poggio.","G.F."
"911","Palacios,Poggio.","Lopez,J.L."
"912","Palacios,Poggio.","Gonzalez,J."
"913","Palacios,Poggio.","Lemberg,A."
"914","Palacios,Poggio.","Campos,R."
"915","G.F.","Lopez,J.L."
"916","G.F.","Gonzalez,J."
"917","G.F.","Lemberg,A."
"918","G.F.","Campos,R."
"919","Lopez,J.L.","Gonzalez,J."
"920","Lopez,J.L.","Lemberg,A."
"921","Lopez,J.L.","Campos,R."
"922","Gonzalez,J.","Lemberg,A."
"923","Gonzalez,J.","Campos,R."
"924","Lemberg,A.","Campos,R."
"925","Orvell,C.","Kalantari,M."
"926","Orvell,C.","Johansson,B."
"927","Kalantari,M.","Johansson,B."
"928","Orvell,C.","Kalantari,M."
"929","Orvell,C.","Johansson,B."
"930","Kalantari,M.","Johansson,B."
"931","Gu,M.","Petric,M."
"932","de Lamballerie,X.","Charrel,R.N."
"933","de Lamballerie,X.","Almani,K."
"934","de Lamballerie,X.","de Micco,P.H."
"935","Charrel,R.N.","Almani,K."
"936","Charrel,R.N.","de Micco,P.H."
"937","Almani,K.","de Micco,P.H."
"938","Emmenegger,E.J.","Kurath,G."
"939","McVeigh,R.R.","Yasbin,R.E."
"940","Vargas,H.E.","Wang,L.F."
"941","Vargas,H.E.","Laskus,T."
"942","Vargas,H.E.","Rakela,J."
"943","Wang,L.F.","Laskus,T."
"944","Wang,L.F.","Rakela,J."
"945","Laskus,T.","Rakela,J."
"946","Zhu,T.","Wang,N."
"947","Zhu,T.","Car,A."
"948","Zhu,T.","Nam,D.S."
"949","Zhu,T.","Moor-Jankowski,R."
"950","Zhu,T.","Cooper,D.A"
"951","Zhu,T.",",Ho,D.D."
"952","Wang,N.","Car,A."
"953","Wang,N.","Nam,D.S."
"954","Wang,N.","Moor-Jankowski,R."
"955","Wang,N.","Cooper,D.A"
"956","Wang,N.",",Ho,D.D."
"957","Car,A.","Nam,D.S."
"958","Car,A.","Moor-Jankowski,R."
"959","Car,A.","Cooper,D.A"
"960","Car,A.",",Ho,D.D."
"961","Nam,D.S.","Moor-Jankowski,R."
"962","Nam,D.S.","Cooper,D.A"
"963","Nam,D.S.",",Ho,D.D."
"964","Moor-Jankowski,R.","Cooper,D.A"
"965","Moor-Jankowski,R.",",Ho,D.D."
"966","Cooper,D.A",",Ho,D.D."
"967","Bloch,N.","Breen,M.B."
"968","Vargas,H.E.","Wang,L.F."
"969","Vargas,H.E.","Laskus,T."
"970","Vargas,H.E.","Rakela,J."
"971","Wang,L.F.","Laskus,T."
"972","Wang,L.F.","Rakela,J."
"973","Laskus,T.","Rakela,J."
"974","Zalloua,P.A.","Buzayan,J.M."
"975","Zalloua,P.A.","Bruening,G."
"976","Buzayan,J.M.","Bruening,G."
"977","Lu,M.","Iatrou,K."
"978","Lu,M.","Iatrou,K."
"979","Dinsmore,P.K.","Klaenhammer,T.R."
"980","Wu,Z.C.Hu.J.S.Polston.J.E.","Ullman,D.E."
"981","Wu,Z.C.Hu.J.S.Polston.J.E.","Hiebert,E."
"982","Ullman,D.E.","Hiebert,E."
"983","Wu,Z.C.","Hu,J.S."
"984","Wu,Z.C.","Pollston,J.E."
"985","Wu,Z.C.","Ullman,D.E."
"986","Wu,Z.C.","Hiebert,E."
"987","Hu,J.S.","Pollston,J.E."
"988","Hu,J.S.","Ullman,D.E."
"989","Hu,J.S.","Hiebert,E."
"990","Pollston,J.E.","Ullman,D.E."
"991","Pollston,J.E.","Hiebert,E."
"992","Ullman,D.E.","Hiebert,E."
"993","Gao,F.","Robertson,D.L."
"994","Gao,F.","Morrison,S.G."
"995","Gao,F.","Hui,H."
"996","Gao,F.","Craig,S."
"997","Gao,F.","Fultz,P.N."
"998","Gao,F.","Decker,J."
"999","Gao,F.","Girard,M."
"1000","Gao,F.","Shaw,G.M."
"1001","Gao,F.","Hahn,B.H."
"1002","Gao,F.","Sharp,P.M."
"1003","Robertson,D.L.","Morrison,S.G."
"1004","Robertson,D.L.","Hui,H."
"1005","Robertson,D.L.","Craig,S."
"1006","Robertson,D.L.","Fultz,P.N."
"1007","Robertson,D.L.","Decker,J."
"1008","Robertson,D.L.","Girard,M."
"1009","Robertson,D.L.","Shaw,G.M."
"1010","Robertson,D.L.","Hahn,B.H."
"1011","Robertson,D.L.","Sharp,P.M."
"1012","Morrison,S.G.","Hui,H."
"1013","Morrison,S.G.","Craig,S."
"1014","Morrison,S.G.","Fultz,P.N."
"1015","Morrison,S.G.","Decker,J."
"1016","Morrison,S.G.","Girard,M."
"1017","Morrison,S.G.","Shaw,G.M."
"1018","Morrison,S.G.","Hahn,B.H."
"1019","Morrison,S.G.","Sharp,P.M."
"1020","Hui,H.","Craig,S."
"1021","Hui,H.","Fultz,P.N."
"1022","Hui,H.","Decker,J."
"1023","Hui,H.","Girard,M."
"1024","Hui,H.","Shaw,G.M."
"1025","Hui,H.","Hahn,B.H."
"1026","Hui,H.","Sharp,P.M."
"1027","Craig,S.","Fultz,P.N."
"1028","Craig,S.","Decker,J."
"1029","Craig,S.","Girard,M."
"1030","Craig,S.","Shaw,G.M."
"1031","Craig,S.","Hahn,B.H."
"1032","Craig,S.","Sharp,P.M."
"1033","Fultz,P.N.","Decker,J."
"1034","Fultz,P.N.","Girard,M."
"1035","Fultz,P.N.","Shaw,G.M."
"1036","Fultz,P.N.","Hahn,B.H."
"1037","Fultz,P.N.","Sharp,P.M."
"1038","Decker,J.","Girard,M."
"1039","Decker,J.","Shaw,G.M."
"1040","Decker,J.","Hahn,B.H."
"1041","Decker,J.","Sharp,P.M."
"1042","Girard,M.","Shaw,G.M."
"1043","Girard,M.","Hahn,B.H."
"1044","Girard,M.","Sharp,P.M."
"1045","Shaw,G.M.","Hahn,B.H."
"1046","Shaw,G.M.","Sharp,P.M."
"1047","Hahn,B.H.","Sharp,P.M."
"1048","Feng,G.","Robertson,D.L."
"1049","Feng,G.","Morrison,S.G."
"1050","Feng,G.","Hui,H."
"1051","Feng,G.","Craig,S."
"1052","Feng,G.","Fultz,P.N."
"1053","Feng,G.","Decker,J."
"1054","Feng,G.","Girard,M."
"1055","Feng,G.","Shaw,G.M."
"1056","Feng,G.","Hahn,B.H."
"1057","Feng,G.","Sharp,P.M."
"1058","Robertson,D.L.","Morrison,S.G."
"1059","Robertson,D.L.","Hui,H."
"1060","Robertson,D.L.","Craig,S."
"1061","Robertson,D.L.","Fultz,P.N."
"1062","Robertson,D.L.","Decker,J."
"1063","Robertson,D.L.","Girard,M."
"1064","Robertson,D.L.","Shaw,G.M."
"1065","Robertson,D.L.","Hahn,B.H."
"1066","Robertson,D.L.","Sharp,P.M."
"1067","Morrison,S.G.","Hui,H."
"1068","Morrison,S.G.","Craig,S."
"1069","Morrison,S.G.","Fultz,P.N."
"1070","Morrison,S.G.","Decker,J."
"1071","Morrison,S.G.","Girard,M."
"1072","Morrison,S.G.","Shaw,G.M."
"1073","Morrison,S.G.","Hahn,B.H."
"1074","Morrison,S.G.","Sharp,P.M."
"1075","Hui,H.","Craig,S."
"1076","Hui,H.","Fultz,P.N."
"1077","Hui,H.","Decker,J."
"1078","Hui,H.","Girard,M."
"1079","Hui,H.","Shaw,G.M."
"1080","Hui,H.","Hahn,B.H."
"1081","Hui,H.","Sharp,P.M."
"1082","Craig,S.","Fultz,P.N."
"1083","Craig,S.","Decker,J."
"1084","Craig,S.","Girard,M."
"1085","Craig,S.","Shaw,G.M."
"1086","Craig,S.","Hahn,B.H."
"1087","Craig,S.","Sharp,P.M."
"1088","Fultz,P.N.","Decker,J."
"1089","Fultz,P.N.","Girard,M."
"1090","Fultz,P.N.","Shaw,G.M."
"1091","Fultz,P.N.","Hahn,B.H."
"1092","Fultz,P.N.","Sharp,P.M."
"1093","Decker,J.","Girard,M."
"1094","Decker,J.","Shaw,G.M."
"1095","Decker,J.","Hahn,B.H."
"1096","Decker,J.","Sharp,P.M."
"1097","Girard,M.","Shaw,G.M."
"1098","Girard,M.","Hahn,B.H."
"1099","Girard,M.","Sharp,P.M."
"1100","Shaw,G.M.","Hahn,B.H."
"1101","Shaw,G.M.","Sharp,P.M."
"1102","Hahn,B.H.","Sharp,P.M."
"1103","Xu,X.","Cox,N."
"1104","Xu,X.","Bender,C."
"1105","Xu,X.","Regnery,H."
"1106","Xu,X.","Shaw,M."
"1107","Cox,N.","Bender,C."
"1108","Cox,N.","Regnery,H."
"1109","Cox,N.","Shaw,M."
"1110","Bender,C.","Regnery,H."
"1111","Bender,C.","Shaw,M."
"1112","Regnery,H.","Shaw,M."
"1113","Gao,F.","Robertson,D.L."
"1114","Gao,F.","Morrison,S.G."
"1115","Gao,F.","Hui,H."
"1116","Gao,F.","Craig,S."
"1117","Gao,F.","Fultz,P.N."
"1118","Gao,F.","Decker,J."
"1119","Gao,F.","Girard,M."
"1120","Gao,F.","Shaw,G.M."
"1121","Gao,F.","Hahn,B.H."
"1122","Gao,F.","Sharp,P.M."
"1123","Robertson,D.L.","Morrison,S.G."
"1124","Robertson,D.L.","Hui,H."
"1125","Robertson,D.L.","Craig,S."
"1126","Robertson,D.L.","Fultz,P.N."
"1127","Robertson,D.L.","Decker,J."
"1128","Robertson,D.L.","Girard,M."
"1129","Robertson,D.L.","Shaw,G.M."
"1130","Robertson,D.L.","Hahn,B.H."
"1131","Robertson,D.L.","Sharp,P.M."
"1132","Morrison,S.G.","Hui,H."
"1133","Morrison,S.G.","Craig,S."
"1134","Morrison,S.G.","Fultz,P.N."
"1135","Morrison,S.G.","Decker,J."
"1136","Morrison,S.G.","Girard,M."
"1137","Morrison,S.G.","Shaw,G.M."
"1138","Morrison,S.G.","Hahn,B.H."
"1139","Morrison,S.G.","Sharp,P.M."
"1140","Hui,H.","Craig,S."
"1141","Hui,H.","Fultz,P.N."
"1142","Hui,H.","Decker,J."
"1143","Hui,H.","Girard,M."
"1144","Hui,H.","Shaw,G.M."
"1145","Hui,H.","Hahn,B.H."
"1146","Hui,H.","Sharp,P.M."
"1147","Craig,S.","Fultz,P.N."
"1148","Craig,S.","Decker,J."
"1149","Craig,S.","Girard,M."
"1150","Craig,S.","Shaw,G.M."
"1151","Craig,S.","Hahn,B.H."
"1152","Craig,S.","Sharp,P.M."
"1153","Fultz,P.N.","Decker,J."
"1154","Fultz,P.N.","Girard,M."
"1155","Fultz,P.N.","Shaw,G.M."
"1156","Fultz,P.N.","Hahn,B.H."
"1157","Fultz,P.N.","Sharp,P.M."
"1158","Decker,J.","Girard,M."
"1159","Decker,J.","Shaw,G.M."
"1160","Decker,J.","Hahn,B.H."
"1161","Decker,J.","Sharp,P.M."
"1162","Girard,M.","Shaw,G.M."
"1163","Girard,M.","Hahn,B.H."
"1164","Girard,M.","Sharp,P.M."
"1165","Shaw,G.M.","Hahn,B.H."
"1166","Shaw,G.M.","Sharp,P.M."
"1167","Hahn,B.H.","Sharp,P.M."
"1168","Schwartz,D.H.","Laeyendecker,O.L."
"1169","Schwartz,D.H.","Song,H."
"1170","Schwartz,D.H.","Ray,S.C."
"1171","Laeyendecker,O.L.","Song,H."
"1172","Laeyendecker,O.L.","Ray,S.C."
"1173","Song,H.","Ray,S.C."
"1174","Schwartz,D.H.","Laeyendecker,O.L."
"1175","Schwartz,D.H.","Song,H."
"1176","Schwartz,D.H.","Ray,S.C."
"1177","Laeyendecker,O.L.","Song,H."
"1178","Laeyendecker,O.L.","Ray,S.C."
"1179","Song,H.","Ray,S.C."
"1180","Smith,O.P.","Durkin,S."
"1181","Smith,O.P.","Luster,D.L."
"1182","Smith,O.P.","McDaniel,L.L."
"1183","Smith,O.P.","Maratos,M."
"1184","Smith,O.P.","Russo,A.J."
"1185","Smith,O.P.","Damsteegt,V.D."
"1186","Durkin,S.","Luster,D.L."
"1187","Durkin,S.","McDaniel,L.L."
"1188","Durkin,S.","Maratos,M."
"1189","Durkin,S.","Russo,A.J."
"1190","Durkin,S.","Damsteegt,V.D."
"1191","Luster,D.L.","McDaniel,L.L."
"1192","Luster,D.L.","Maratos,M."
"1193","Luster,D.L.","Russo,A.J."
"1194","Luster,D.L.","Damsteegt,V.D."
"1195","McDaniel,L.L.","Maratos,M."
"1196","McDaniel,L.L.","Russo,A.J."
"1197","McDaniel,L.L.","Damsteegt,V.D."
"1198","Maratos,M.","Russo,A.J."
"1199","Maratos,M.","Damsteegt,V.D."
"1200","Russo,A.J.","Damsteegt,V.D."
"1201","Miller,A.D.","Chen,F."
"1202","Widell,A.","Zhang,Y.-Y."
"1203","Widell,A.","Andersson-Gare,B."
"1204","Widell,A.","Hammarstrom,L."
"1205","Zhang,Y.-Y.","Andersson-Gare,B."
"1206","Zhang,Y.-Y.","Hammarstrom,L."
"1207","Andersson-Gare,B.","Hammarstrom,L."
"1208","Andresdottir,V.","Tang,X."
"1209","Andresdottir,V.","Andresson,O.S."
"1210","Tang,X.","Andresson,O.S."
"1211","Kyaw-Zin-Thant","Igarashi,A."
"1212","Diaz,R.S.","deOliveira,C.F."
"1213","Diaz,R.S.","Busch,M.P."
"1214","deOliveira,C.F.","Busch,M.P."
"1215","Diaz,R.S.","deOliveira,C.F."
"1216","Diaz,R.S.","Busch,M.P."
"1217","deOliveira,C.F.","Busch,M.P."
"1218","Bohenzky,R.A.","Russo,J.J."
"1219","Bohenzky,R.A.","Edelman,I.S."
"1220","Bohenzky,R.A.","Chang,Y."
"1221","Bohenzky,R.A.","Moore,P.S."
"1222","Bohenzky,R.A.","Cesarman,E."
"1223","Bohenzky,R.A.","Knowles,D.M."
"1224","Russo,J.J.","Edelman,I.S."
"1225","Russo,J.J.","Chang,Y."
"1226","Russo,J.J.","Moore,P.S."
"1227","Russo,J.J.","Cesarman,E."
"1228","Russo,J.J.","Knowles,D.M."
"1229","Edelman,I.S.","Chang,Y."
"1230","Edelman,I.S.","Moore,P.S."
"1231","Edelman,I.S.","Cesarman,E."
"1232","Edelman,I.S.","Knowles,D.M."
"1233","Chang,Y.","Moore,P.S."
"1234","Chang,Y.","Cesarman,E."
"1235","Chang,Y.","Knowles,D.M."
"1236","Moore,P.S.","Cesarman,E."
"1237","Moore,P.S.","Knowles,D.M."
"1238","Cesarman,E.","Knowles,D.M."
"1239","Berke,T.","Zhong,W.M."
"1240","Berke,T.","Matson,D.O."
"1241","Berke,T.","Smith,A.W."
"1242","Zhong,W.M.","Matson,D.O."
"1243","Zhong,W.M.","Smith,A.W."
"1244","Matson,D.O.","Smith,A.W."
"1245","Hjelle,B.L.","Torrez-Martinez,N."
"1246","Hjelle,B.L.","Bharadwaj,M."
"1247","Torrez-Martinez,N.","Bharadwaj,M."
"1248","Diaz,R.S.","deOliveira,C.F."
"1249","Diaz,R.S.","Busch,M.P."
"1250","deOliveira,C.F.","Busch,M.P."
"1251","Andresdottir,V.","Tang,X."
"1252","Andresdottir,V.","Andresson,O.S."
"1253","Tang,X.","Andresson,O.S."
"1254","Ballagi-Pordany,A.","Lagerkvist,A."
"1255","Ballagi-Pordany,A.","Baranyi,J."
"1256","Ballagi-Pordany,A.","Landegren,U."
"1257","Ballagi-Pordany,A.","Belak,S."
"1258","Ballagi-Pordany,A.","Lomniczi,B."
"1259","Lagerkvist,A.","Baranyi,J."
"1260","Lagerkvist,A.","Landegren,U."
"1261","Lagerkvist,A.","Belak,S."
"1262","Lagerkvist,A.","Lomniczi,B."
"1263","Baranyi,J.","Landegren,U."
"1264","Baranyi,J.","Belak,S."
"1265","Baranyi,J.","Lomniczi,B."
"1266","Landegren,U.","Belak,S."
"1267","Landegren,U.","Lomniczi,B."
"1268","Belak,S.","Lomniczi,B."
"1269","Plikat,U.","Nieselt-Struwe,K."
"1270","Plikat,U.","Meyerhans,A."
"1271","Nieselt-Struwe,K.","Meyerhans,A."
"1272","Ma,Y.","Mathews,M.B."
"1273","Weaver,S.C.","Cilnis,M.J."
"1274","Weaver,S.C.","Kang,W."
"1275","Cilnis,M.J.","Kang,W."
"1276","Sapats,S.I.","Ashton,F."
"1277","Sapats,S.I.","Wright,P.J."
"1278","Sapats,S.I.","Ignjatovic,J."
"1279","Ashton,F.","Wright,P.J."
"1280","Ashton,F.","Ignjatovic,J."
"1281","Wright,P.J.","Ignjatovic,J."
"1282","Michael,N.L.","Brown,A.E."
"1283","Michael,N.L.","Voigt,R.F."
"1284","Michael,N.L.","Frankel,S.S."
"1285","Michael,N.L.","Birx,D.L."
"1286","Michael,N.L.","Cassol,S.A."
"1287","Brown,A.E.","Voigt,R.F."
"1288","Brown,A.E.","Frankel,S.S."
"1289","Brown,A.E.","Birx,D.L."
