"","year","nrow","ncol","nodeNum","edgeNum","no.cluster","meandegree","density","cluster.coefficient","assort","centr_betweenness","centr_closeness","centr_eigenV","centr_degree","node.giant","edge.giant","size.giant","density.giant","diameter.giant","weighted.giant","unweighted.giant","assortativity.giant","centr_betw.giant","centr_clo.giant","centr_eigen.giant","centr_degree.giant","min_teamsize","teamsize_median","teamsize_mean","teamsize_Max"
"15",2006,1557,47,54696,51592,3104,0.94,3.4e-05,0,-11.218681010347,0.280933782091722,1.93789075367723e-05,0.998131836162057,0.188757902917509,28999,28998,53.0185022670762,6.9e-05,10,10326,10326,-21.7615108150397,0.999446737360923,0.55267613700826,0.996476278478724,0.356024555795844,10,14,14.4047337278107,39
"16",2007,1712,58,64619,61140,3479,0.95,2.9e-05,0,-10.9021562524282,0.299568913484353,1.69407762141533e-05,0.998298767519733,0.184748950405592,35378,35377,54.7486033519553,5.7e-05,11,11940,11940,-20.3849727558242,0.99944432331414,0.540877691591911,0.996892567300503,0.337450887766976,10,14,14.4047337278107,39
"17",2008,1765,54,66747,63348,3399,0.95,2.8e-05,0,-10.74045072083,0.351216285636021,1.77622536577801e-05,0.998333409876896,0.182619210848201,39573,39572,59.2880578902423,5.1e-05,12,12191,12191,-18.322671817872,0.99918493605021,0.516125396791286,0.997188937409553,0.308020824081156,10,14,14.4047337278107,39
"18",2009,1958,69,84559,81250,3309,0.96,2.3e-05,0,-9.94144852062389,0.386193121953827,1.46987575670034e-05,0.998560615506131,0.172083992820078,52572,52571,62.1719745976182,3.8e-05,12,14553,14553,-16.1848094074542,0.999122945477762,0.506197718018164,0.99768480055834,0.276787583231117,10,14,14.4047337278107,39
"19",2010,2107,42,85000,81233,3767,0.96,2.2e-05,0,-10.7093224498851,0.360535131968676,1.41286385225515e-05,0.998517515843954,0.18393261844603,51048,51047,60.0564705882353,3.9e-05,8,15636,15636,-18.1446102740113,0.99961495468899,0.538743743916254,0.997531477720181,0.306266774525022,10,14,14.4047337278107,39
"20",2011,2318,203,121042,119589,1453,0.99,1.6e-05,0,-9.99705820330561,0.759898076349723,1.46643090841698e-05,0.998875710546903,0.149552829274341,107308,107307,88.65352522265,1.9e-05,12,18104,18104,-11.2590991247467,0.966859696393246,0.408832825064263,0.998731813734527,0.168693561637525,10,14,14.4047337278107,39
"21",2012,2552,57,115421,111945,3476,0.97,1.7e-05,0,-9.80519972983486,0.486830496917408,1.20925300507777e-05,0.998766273955035,0.172050426543698,80554,80553,69.7914590932326,2.5e-05,12,19860,19860,-14.138445281112,0.99948221092082,0.500686424136069,0.99823225461337,0.246520924420296,10,14,14.4047337278107,39
"22",2013,2565,85,121159,117773,3386,0.97,1.6e-05,0,-9.51989108296484,0.50812042878191,1.17693929257426e-05,0.998809378546486,0.167987717637261,86384,86383,71.2980463688211,2.3e-05,11,20355,20355,-13.4215634305385,0.99956943854614,0.495254045436288,0.998330067335285,0.235613489033171,10,14,14.4047337278107,39
"23",2014,2569,67,120621,117152,3469,0.97,1.6e-05,0,-9.695419456875,0.477602511716549,1.14603949196191e-05,0.998798371163733,0.170743305579554,83378,83377,69.1239502242561,2.4e-05,12,20597,20597,-14.1511263431137,0.99956566085625,0.500785834456722,0.998261618827941,0.247010566750868,10,14,14.4047337278107,39
"24",2015,2368,141,129890,127277,2613,0.98,1.5e-05,0,-8.5886087837539,0.619601291736476,1.21303031001703e-05,0.998901586361449,0.151922335486794,102319,102318,78.7735776426207,2e-05,13,19735,19735,-10.8932859660361,0.998508960001157,0.469251494799471,0.998605600724375,0.192859516600664,10,14,14.4047337278107,39
"25",2016,2037,111,118024,115256,2768,0.98,1.7e-05,0,-8.27316316511205,0.538860752985174,1.24447481442243e-05,0.998866257883458,0.146895494147023,86689,86688,73.4503151901308,2.3e-05,11,17339,17339,-11.2726437480439,0.998827536535742,0.479943629904816,0.99845644084951,0.199993078892938,10,14,14.4047337278107,39
"26",2017,1722,84,114162,112018,2144,0.98,1.7e-05,0,-7.56513499184871,0.607628159067063,1.3670491689066e-05,0.998896193014037,0.13359236132006,89078,89077,78.0277150014891,2.2e-05,13,15253,15253,-9.66597458445306,0.99802375907529,0.450712337021973,0.998585358508268,0.171211424076386,10,14,14.4047337278107,39
"27",2018,1221,88,75124,72591,2533,0.97,2.6e-05,0,-8.25437857411203,0.381885065648216,1.64545885600836e-05,0.998590495908555,0.144736864012005,46449,46448,61.8297747723763,4.3e-05,12,10875,10875,-13.4326958722767,0.998944264037665,0.496042102180202,0.997720309893911,0.234089735684162,10,14,14.4047337278107,39
