"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"metric.name","nrow","ncol","min_teamsize","teamsize_median","teamsize_mean","teamsize_Max","nodeNum","edgeNum","no.cluster","meandegree","density","cluster.coefficient","assortativity","centr_betweenness","centr_closeness","centr_eigenV","centr_degree","node.giant","edge.giant","size.giant","density.giant","diameter.giant","weighted.giant","unweighted.giant","assortativity.giant","centr_betw.giant","centr_clo.giant","centr_eigen.giant","centr_degree.giant"
"network.metric"," 8.787700e+04"," 2.020000e+02"," 7.000000e+00"," 1.200000e+01"," 1.344245e+01"," 2.020000e+02"," 1.589330e+05"," 1.302590e+06"," 1.000000e+00"," 8.200000e+00"," 1.030000e-04"," 2.069267e-02","-1.424324e+00"," 7.495594e-01"," 5.020010e-01"," 9.987094e-01"," 1.788224e-01"," 1.589330e+05"," 1.302590e+06"," 1.000000e+02"," 1.030000e-04"," 4.100000e+01"," 2.843700e+04"," 2.843700e+04","-1.424324e+00"," 7.495594e-01"," 5.020010e-01"," 9.987094e-01"," 1.788224e-01"
